"Município (Res)";"Freqüência"
"110037 Alto Alegre dos Parecis";2
"110040 Alto Paraíso";5
"110002 Ariquemes";15
"110045 Buritis";2
"110003 Cabixi";1
"110004 Cacoal";12
"110080 Candeias do Jamari";3
"110006 Colorado do Oeste";4
"110008 Costa Marques";2
"110009 Espigão D'Oeste";1
"110010 Guajará-Mirim";2
"110011 Jaru";8
"110012 Ji-Paraná";10
"110013 Machadinho D'Oeste";1
"110120 Ministro Andreazza";1
"110130 Mirante da Serra";2
"110014 Nova Brasilândia D'Oeste";6
"110015 Ouro Preto do Oeste";2
"110018 Pimenta Bueno";3
"110020 Porto Velho";122
"110025 Presidente Médici";2
"110028 Rolim de Moura";2
"110149 São Francisco do Guaporé";1
"110032 São Miguel do Guaporé";1
"110150 Seringueiras";1
"110030 Vilhena";27
"110000 Município ignorado - RO";2
"120010 Brasiléia";1
"120017 Capixaba";1
"120020 Cruzeiro do Sul";2
"120034 Manoel Urbano";1
"120040 Rio Branco";46
"120042 Rodrigues Alves";1
"120045 Senador Guiomard";1
"120060 Tarauacá";1
"130008 Anamã";1
"130020 Atalaia do Norte";1
"130030 Autazes";2
"130050 Barreirinha";1
"130060 Benjamin Constant";4
"130070 Boca do Acre";1
"130090 Canutama";2
"130100 Carauari";1
"130120 Coari";2
"130150 Envira";1
"130170 Humaitá";3
"130185 Iranduba";1
"130190 Itacoatiara";4
"130195 Itamarati";1
"130210 Japurá";1
"130250 Manacapuru";4
"130260 Manaus";543
"130270 Manicoré";4
"130340 Parintins";24
"130353 Presidente Figueiredo";3
"130356 Rio Preto da Eva";4
"130390 São Paulo de Olivença";2
"130406 Tabatinga";14
"130420 Tefé";15
"130426 Uarini";1
"140002 Amajari";1
"140010 Boa Vista";65
"140015 Bonfim";1
"140030 Mucajaí";2
"140045 Pacaraima";1
"150010 Abaetetuba";15
"150020 Acará";1
"150030 Afuá";1
"150040 Alenquer";3
"150050 Almeirim";2
"150060 Altamira";9
"150080 Ananindeua";98
"150085 Anapu";3
"150110 Bagre";2
"150130 Barcarena";11
"150140 Belém";480
"150145 Belterra";1
"150150 Benevides";5
"150157 Bom Jesus do Tocantins";1
"150170 Bragança";11
"150178 Breu Branco";1
"150190 Bujaru";1
"150195 Cachoeira do Piriá";1
"150210 Cametá";1
"150215 Canaã dos Carajás";1
"150220 Capanema";3
"150240 Castanhal";25
"150260 Colares";1
"150276 Cumaru do Norte";1
"150277 Curionópolis";8
"150280 Curralinho";1
"150290 Curuçá";6
"150293 Dom Eliseu";2
"150295 Eldorado dos Carajás";2
"150309 Goianésia do Pará";5
"150320 Igarapé-Açu";1
"150330 Igarapé-Miri";1
"150345 Ipixuna do Pará";1
"150350 Irituia";1
"150360 Itaituba";2
"150370 Itupiranga";3
"150380 Jacundá";3
"150390 Juruti";1
"150405 Mãe do Rio";1
"150420 Marabá";35
"150440 Marapanim";4
"150442 Marituba";27
"150460 Mocajuba";1
"150470 Moju";2
"150503 Novo Progresso";2
"150510 Óbidos";3
"150530 Oriximiná";1
"150540 Ourém";1
"150543 Ourilândia do Norte";2
"150549 Palestina do Pará";1
"150550 Paragominas";13
"150553 Parauapebas";12
"150560 Peixe-Boi";1
"150565 Placas";1
"150570 Ponta de Pedras";1
"150613 Redenção";18
"150616 Rio Maria";4
"150618 Rondon do Pará";4
"150620 Salinópolis";4
"150630 Salvaterra";2
"150650 Santa Isabel do Pará";3
"150655 Santa Luzia do Pará";1
"150660 Santa Maria do Pará";2
"150670 Santana do Araguaia";5
"150680 Santarém";26
"150710 São Caetano de Odivelas";1
"150715 São Domingos do Araguaia";2
"150730 São Félix do Xingu";3
"150745 São Geraldo do Araguaia";3
"150760 São Miguel do Guamá";6
"150795 Tailândia";7
"150800 Tomé-Açu";1
"150803 Tracuateua";1
"150808 Tucumã";2
"150810 Tucuruí";14
"150812 Ulianópolis";1
"150820 Vigia";2
"150830 Viseu";2
"150840 Xinguara";2
"160020 Calçoene";1
"160027 Laranjal do Jari";1
"160030 Macapá";62
"160050 Oiapoque";4
"160053 Porto Grande";1
"160060 Santana";4
"160070 Tartarugalzinho";2
"170030 Aguiarnópolis";1
"170210 Araguaína";7
"170220 Araguatins";2
"170360 Brasilândia do Tocantins";2
"170550 Colinas do Tocantins";4
"171670 Colméia";1
"170600 Couto de Magalhães";1
"170700 Dianópolis";1
"170710 Divinópolis do Tocantins";1
"170765 Figueirópolis";1
"170770 Filadélfia";1
"170820 Formoso do Araguaia";4
"170930 Guaraí";2
"170950 Gurupi";13
"170980 Ipueiras";1
"171330 Miranorte";2
"171488 Nova Olinda";1
"172100 Palmas";20
"171610 Paraíso do Tocantins";2
"171720 Piraquê";2
"171820 Porto Nacional";4
"171840 Presidente Kennedy";1
"172020 São Miguel do Tocantins";1
"172030 São Sebastião do Tocantins";1
"172090 Taguatinga";1
"172130 Tupiratins";1
"172208 Wanderlândia";2
"172210 Xambioá";1
"210005 Açailândia";12
"210020 Alcântara";1
"210030 Aldeias Altas";2
"210043 Alto Alegre do Maranhão";4
"210055 Amapá do Maranhão";1
"210087 Araguanã";1
"210100 Arari";1
"210120 Bacabal";10
"210140 Balsas";8
"210150 Barão de Grajaú";1
"210160 Barra do Corda";9
"210170 Barreirinhas";3
"210177 Bela Vista do Maranhão";1
"210203 Bom Jesus das Selvas";2
"210207 Bom Lugar";1
"210210 Brejo";1
"210230 Buriti Bravo";1
"210232 Buriticupu";4
"210240 Cajapió";1
"210255 Campestre do Maranhão";1
"210280 Carolina";1
"210300 Caxias";29
"210317 Centro Novo do Maranhão";1
"210320 Chapadinha";4
"210330 Codó";14
"210340 Coelho Neto";13
"210350 Colinas";3
"210355 Conceição do Lago-Açu";2
"210370 Cururupu";2
"210375 Davinópolis";2
"210380 Dom Pedro";3
"210400 Esperantinópolis";2
"210410 Fortaleza dos Nogueiras";2
"210460 Governador Eugênio Barros";1
"210462 Governador Luiz Rocha";1
"210467 Governador Nunes Freire";3
"210480 Grajaú";1
"210510 Icatu";2
"210515 Igarapé do Meio";1
"210530 Imperatriz";58
"210535 Itaipava do Grajaú";3
"210540 Itapecuru Mirim";9
"210542 Itinga do Maranhão";3
"210550 João Lisboa";2
"210565 Junco do Maranhão";2
"210570 Lago da Pedra";1
"210580 Lago do Junco";1
"210592 Lagoa do Mato";2
"210600 Lima Campos";1
"210637 Maranhãozinho";1
"210663 Matões do Norte";1
"210670 Mirador";1
"210675 Miranda do Norte";6
"210735 Nova Olinda do Maranhão";1
"210750 Paço do Lumiar";8
"210770 Paraibano";1
"210790 Passagem Franca";3
"210800 Pastos Bons";1
"210820 Pedreiras";11
"210830 Penalva";1
"210850 Pindaré-Mirim";1
"210860 Pinheiro";11
"210870 Pio XII";1
"210890 Poção de Pedras";2
"210900 Porto Franco";2
"210910 Presidente Dutra";2
"210940 Primeira Cruz";2
"210945 Raposa";1
"210960 Rosário";1
"210990 Santa Inês";9
"211000 Santa Luzia";3
"211010 Santa Quitéria do Maranhão";1
"211020 Santa Rita";1
"211023 Santana do Maranhão";1
"211030 Santo Antônio dos Lopes";1
"211050 São Bento";3
"211060 São Bernardo";1
"211105 São João do Paraíso";1
"211110 São João dos Patos";1
"211120 São José de Ribamar";21
"211125 São José dos Basílios";1
"211130 São Luís";308
"211150 São Mateus do Maranhão";3
"211153 São Pedro da Água Branca";1
"211210 Timbiras";1
"211220 Timon";21
"211223 Trizidela do Vale";8
"211227 Tufilândia";1
"211230 Tuntum";3
"211240 Turiaçu";2
"211250 Tutóia";1
"211270 Vargem Grande";2
"211280 Viana";1
"211400 Zé Doca";3
"220010 Agricolândia";1
"220020 Água Branca";1
"220030 Alto Longá";4
"220040 Altos";4
"220050 Amarante";1
"220090 Aroazes";1
"220100 Arraial";1
"220120 Barras";2
"220140 Barro Duro";1
"220150 Batalha";1
"220190 Bom Jesus";1
"220196 Brasileira";1
"220200 Buriti dos Lopes";1
"220210 Campinas do Piauí";1
"220220 Campo Maior";8
"220277 Colônia do Piauí";1
"220290 Corrente";1
"220340 Dom Expedito Lopes";1
"220350 Elesbão Veloso";3
"220370 Esperantina";4
"220375 Fartura do Piauí";1
"220390 Floriano";4
"220410 Francisco Ayres";1
"220440 Gilbués";1
"220450 Guadalupe";5
"220455 Guaribas";1
"220535 João Costa";1
"220570 Luís Correia";1
"220580 Luzilândia";1
"220620 Miguel Alves";4
"220669 Murici dos Portelas";2
"220670 Nazaré do Piauí";3
"220680 Nossa Senhora dos Remédios";1
"220700 Oeiras";7
"220750 Palmeirais";1
"220770 Parnaíba";13
"220790 Pedro II";3
"220800 Picos";1
"220830 Piracuruca";4
"220840 Piripiri";3
"220860 Prata do Piauí";1
"220865 Queimada Nova";2
"220900 Rio Grande do Piauí";1
"220940 Santo Antônio de Lisboa";1
"220985 São João da Canabrava";1
"220997 São João do Arraial";1
"221000 São João do Piauí";2
"221030 São Julião";1
"221040 São Miguel do Tapuio";1
"221050 São Pedro do Piauí";1
"221060 São Raimundo Nonato";5
"221080 Simplício Mendes";2
"221100 Teresina";213
"221110 União";4
"221130 Valença do Piauí";1
"230020 Acaraú";5
"230070 Alto Santo";1
"230075 Amontada";1
"230100 Aquiraz";3
"230110 Aracati";11
"230140 Aratuba";1
"230190 Barbalha";2
"230195 Barreira";1
"230200 Barro";1
"230210 Baturité";4
"230220 Beberibe";6
"230230 Bela Cruz";1
"230250 Brejo Santo";2
"230260 Camocim";2
"230270 Campos Sales";1
"230280 Canindé";9
"230300 Caridade";1
"230310 Cariré";1
"230320 Caririaçu";1
"230340 Carnaubal";1
"230350 Cascavel";8
"230370 Caucaia";43
"230380 Cedro";1
"230395 Chorozinho";3
"230400 Coreaú";1
"230410 Crateús";4
"230420 Crato";2
"230423 Croatá";4
"230425 Cruz";1
"230428 Eusébio";6
"230430 Farias Brito";2
"230440 Fortaleza";480
"230465 Graça";1
"230470 Granja";2
"230490 Groaíras";3
"230500 Guaraciaba do Norte";8
"230520 Hidrolândia";2
"230523 Horizonte";10
"230530 Ibiapina";1
"230535 Icapuí";2
"230540 Icó";3
"230550 Iguatu";7
"230560 Independência";1
"230565 Ipaporanga";1
"230590 Ipueiras";1
"230620 Itaiçaba";1
"230625 Itaitinga";6
"230630 Itapagé";1
"230640 Itapipoca";4
"230655 Itarema";1
"230660 Itatira";1
"230690 Jaguaribe";3
"230700 Jaguaruana";1
"230710 Jardim";2
"230725 Jijoca de Jericoacoara";2
"230730 Juazeiro do Norte";16
"230740 Jucás";1
"230760 Limoeiro do Norte";7
"230765 Maracanaú";25
"230770 Maranguape";5
"230780 Marco";1
"230800 Massapê";1
"230840 Missão Velha";1
"230850 Mombaça";2
"230860 Monsenhor Tabosa";1
"230870 Morada Nova";1
"230890 Morrinhos";2
"230900 Mucambo";1
"230930 Nova Russas";1
"230940 Novo Oriente";3
"230945 Ocara";1
"230960 Pacajus";3
"230970 Pacatuba";5
"231020 Paracuru";5
"231025 Paraipaba";1
"231030 Parambu";1
"231040 Paramoti";1
"231050 Pedra Branca";1
"231070 Pentecoste";4
"231085 Pindoretama";3
"231100 Poranga";1
"231120 Potengi";1
"231126 Quiterianópolis";1
"231130 Quixadá";3
"231140 Quixeramobim";1
"231160 Redenção";3
"231170 Reriutaba";1
"231180 Russas";4
"231220 Santa Quitéria";1
"231230 São Benedito";1
"231240 São Gonçalo do Amarante";2
"231260 São Luís do Curu";2
"231290 Sobral";15
"231300 Solonópole";1
"231310 Tabuleiro do Norte";5
"231330 Tauá";4
"231340 Tianguá";4
"231350 Trairi";1
"231360 Ubajara";1
"231380 Uruburetama";1
"231395 Varjota";1
"231400 Várzea Alegre";1
"240010 Acari";1
"240020 Açu";3
"240050 Alexandria";1
"240070 Alto do Rodrigues";2
"240100 Apodi";4
"240110 Areia Branca";9
"240140 Baía Formosa";1
"240145 Baraúna";2
"240170 Bom Jesus";2
"240190 Caiçara do Rio do Vento";1
"240200 Caicó";5
"240220 Canguaretama";4
"240230 Caraúbas";3
"240260 Ceará-Mirim";7
"240360 Extremoz";1
"240400 Frutuoso Gomes";2
"240420 Goianinha";2
"240430 Governador Dix-Sept Rosado";2
"240440 Grossos";1
"240450 Guamaré";2
"240470 Ipanguaçu";1
"240490 Itaú";2
"240520 Janduís";1
"240540 Japi";1
"240560 Jardim de Piranhas";4
"240580 João Câmara";6
"240670 Lajes";2
"240680 Lajes Pintadas";2
"240710 Macaíba";13
"240720 Macau";2
"240725 Major Sales";1
"240740 Martins";3
"240760 Messias Targino";1
"240800 Mossoró";35
"240810 Natal";129
"240820 Nísia Floresta";4
"240880 Parazinho";2
"240890 Parelhas";2
"240325 Parnamirim";36
"240910 Passa e Fica";2
"240920 Passagem";1
"240930 Patu";3
"240940 Pau dos Ferros";5
"240990 Pendências";1
"241030 Presidente Juscelino";4
"241100 Rodolfo Fernandes";1
"241120 Santa Cruz";4
"240933 Santa Maria";1
"241150 Santo Antônio";2
"241190 São Francisco do Oeste";3
"241200 São Gonçalo do Amarante";9
"241250 São Miguel";1
"241260 São Paulo do Potengi";1
"241335 Serra do Mel";2
"241370 Sítio Novo";1
"241400 Tangará";3
"241420 Tibau do Sul";1
"241480 Vera Cruz";1
"241490 Viçosa";2
"250030 Alagoa Grande";2
"250040 Alagoa Nova";3
"250060 Alhandra";1
"250080 Araçagi";1
"250090 Arara";1
"250100 Araruna";1
"250110 Areia";1
"250130 Aroeiras";2
"250140 Baía da Traição";3
"250150 Bananeiras";1
"250160 Barra de Santa Rosa";1
"250157 Barra de Santana";1
"250180 Bayeux";17
"250190 Belém";1
"250215 Boa Vista";2
"250250 Boqueirão";4
"250280 Brejo do Cruz";1
"250300 Caaporã";2
"250310 Cabaceiras";1
"250320 Cabedelo";11
"250355 Cacimbas";1
"250360 Caiçara";1
"250370 Cajazeiras";5
"250400 Campina Grande";45
"250415 Casserengue";1
"250430 Catolé do Rocha";1
"250460 Conde";2
"250480 Coremas";1
"250490 Cruz do Espírito Santo";1
"250570 Dona Inês";2
"250600 Esperança";1
"250630 Guarabira";5
"250690 Itabaiana";2
"250710 Itapororoca";3
"250750 João Pessoa";116
"250790 Juripiranga";2
"250830 Lagoa Seca";2
"250860 Lucena";3
"250880 Malta";2
"250890 Mamanguape";4
"250905 Marcação";4
"250910 Mari";4
"250930 Mataraca";1
"250940 Mogeiro";1
"250990 Natuba";2
"251065 Parari";1
"251080 Patos";9
"251120 Pedras de Fogo";5
"251180 Pirpirituba";1
"251190 Pitimbu";4
"251200 Pocinhos";1
"251210 Pombal";4
"251230 Princesa Isabel";3
"251250 Queimadas";1
"251275 Riachão do Bacamarte";1
"251290 Rio Tinto";5
"251310 Salgado de São Félix";1
"251315 Santa Cecília";2
"251340 Santa Luzia";2
"251370 Santa Rita";22
"251390 São Bento";2
"250070 São João do Rio do Peixe";1
"251450 São José de Piranhas";1
"251510 São Sebastião de Lagoa de Roça";1
"251530 Sapé";4
"251580 Serra Redonda";3
"251593 Sertãozinho";1
"251600 Solânea";2
"251610 Soledade";2
"251620 Sousa";4
"251650 Taperoá";1
"251670 Teixeira";1
"251690 Uiraúna";1
"251720 Vieirópolis";1
"260005 Abreu e Lima";38
"260010 Afogados da Ingazeira";2
"260020 Afrânio";1
"260040 Água Preta";2
"260050 Águas Belas";4
"260060 Alagoinha";2
"260110 Araripina";5
"260120 Arcoverde";14
"260140 Barreiros";12
"260150 Belém de Maria";3
"260160 Belém de São Francisco";3
"260170 Belo Jardim";5
"260190 Bezerros";6
"260200 Bodocó";1
"260210 Bom Conselho";2
"260220 Bom Jardim";3
"260230 Bonito";5
"260260 Brejo da Madre de Deus";2
"260270 Buenos Aires";2
"260280 Buíque";2
"260290 Cabo de Santo Agostinho";71
"260300 Cabrobó";1
"260310 Cachoeirinha";1
"260320 Caetés";1
"260345 Camaragibe";33
"260350 Camocim de São Félix";1
"260370 Canhotinho";1
"260400 Carpina";11
"260410 Caruaru";46
"260415 Casinhas";1
"260420 Catende";8
