"Município (Res)";"Freqüência"
"110002 Ariquemes";1
"110004 Cacoal";4
"110008 Costa Marques";1
"110011 Jaru";1
"110012 Ji-Paraná";5
"110018 Pimenta Bueno";2
"110020 Porto Velho";47
"110025 Presidente Médici";2
"110028 Rolim de Moura";1
"110030 Vilhena";5
"120040 Rio Branco";10
"130100 Carauari";1
"130140 Eirunepé";3
"130170 Humaitá";1
"130190 Itacoatiara";1
"130240 Lábrea";1
"130260 Manaus";161
"130340 Parintins";2
"130353 Presidente Figueiredo";1
"130370 Santo Antônio do Içá";1
"130395 São Sebastião do Uatumã";1
"130406 Tabatinga";2
"130420 Tefé";1
"140010 Boa Vista";14
"140015 Bonfim";1
"150040 Alenquer";2
"150050 Almeirim";1
"150080 Ananindeua";26
"150100 Aveiro";1
"150130 Barcarena";1
"150140 Belém";167
"150150 Benevides";3
"150170 Bragança";1
"150178 Breu Branco";1
"150240 Castanhal";4
"150270 Conceição do Araguaia";1
"150293 Dom Eliseu";1
"150295 Eldorado dos Carajás";1
"150380 Jacundá";1
"150420 Marabá";3
"150440 Marapanim";2
"150442 Marituba";1
"150510 Óbidos";1
"150549 Palestina do Pará";1
"150550 Paragominas";1
"150553 Parauapebas";2
"150613 Redenção";7
"150650 Santa Isabel do Pará";1
"150660 Santa Maria do Pará";1
"150670 Santana do Araguaia";1
"150680 Santarém";1
"150700 Santo Antônio do Tauá";1
"150710 São Caetano de Odivelas";1
"150730 São Félix do Xingu";1
"150800 Tomé-Açu";2
"150810 Tucuruí";1
"150000 Município ignorado - PA";1
"160030 Macapá";29
"160060 Santana";1
"160070 Tartarugalzinho";1
"170035 Aliança do Tocantins";1
"170100 Ananás";1
"170210 Araguaína";7
"170220 Araguatins";1
"170290 Axixá do Tocantins";1
"170307 Barra do Ouro";1
"170310 Barrolândia";1
"171670 Colméia";2
"170765 Figueirópolis";1
"170930 Guaraí";1
"170950 Gurupi";5
"172100 Palmas";7
"171610 Paraíso do Tocantins";1
"171875 Rio Sono";1
"172020 São Miguel do Tocantins";1
"210005 Açailândia";4
"210090 Araioses";1
"210120 Bacabal";2
"210150 Barão de Grajaú";1
"210160 Barra do Corda";1
"210232 Buriticupu";2
"210300 Caxias";4
"210320 Chapadinha";1
"210330 Codó";4
"210350 Colinas";1
"210360 Coroatá";1
"210375 Davinópolis";2
"210380 Dom Pedro";1
"210400 Esperantinópolis";1
"210440 Gonçalves Dias";1
"210500 Humberto de Campos";1
"210520 Igarapé Grande";1
"210530 Imperatriz";35
"210540 Itapecuru Mirim";2
"210632 Maracaçumé";1
"210670 Mirador";2
"210680 Mirinzal";1
"210710 Morros";1
"210750 Paço do Lumiar";2
"210780 Parnarama";3
"210820 Pedreiras";1
"210845 Peritoró";1
"210945 Raposa";1
"210950 Riachão";1
"210990 Santa Inês";2
"211000 Santa Luzia";1
"211060 São Bernardo";1
"211120 São José de Ribamar";3
"211130 São Luís";86
"211150 São Mateus do Maranhão";1
"211172 Satubinha";1
"211220 Timon";17
"211250 Tutóia";1
"211290 Vitória do Mearim";1
"211300 Vitorino Freire";1
"220020 Água Branca";1
"220040 Altos";1
"220050 Amarante";2
"220190 Bom Jesus";2
"220220 Campo Maior";2
"220225 Canavieira";1
"220230 Canto do Buriti";1
"220240 Capitão de Campos";2
"220260 Castelo do Piauí";1
"220360 Eliseu Martins";2
"220520 Jaicós";1
"220610 Matias Olímpio";1
"220690 Novo Oriente do Piauí";1
"220700 Oeiras";4
"220770 Parnaíba";3
"220775 Passagem Franca do Piauí";2
"220800 Picos";1
"220830 Piracuruca";2
"220840 Piripiri";3
"221060 São Raimundo Nonato";1
"221100 Teresina";55
"221110 União";1
"221120 Uruçuí";1
"221130 Valença do Piauí";3
"221140 Várzea Grande";1
"230020 Acaraú";1
"230050 Alcântaras";1
"230100 Aquiraz";1
"230110 Aracati";3
"230190 Barbalha";1
"230210 Baturité";1
"230220 Beberibe";3
"230240 Boa Viagem";1
"230250 Brejo Santo";1
"230260 Camocim";3
"230280 Canindé";2
"230370 Caucaia";11
"230410 Crateús";1
"230420 Crato";2
"230425 Cruz";1
"230435 Forquilha";1
"230440 Fortaleza";241
"230450 Frecheirinha";1
"230500 Guaraciaba do Norte";4
"230520 Hidrolândia";2
"230523 Horizonte";1
"230550 Iguatu";4
"230570 Ipaumirim";2
"230580 Ipu";4
"230590 Ipueiras";2
"230620 Itaiçaba";1
"230625 Itaitinga";1
"230640 Itapipoca";1
"230690 Jaguaribe";2
"230725 Jijoca de Jericoacoara";1
"230730 Juazeiro do Norte";2
"230760 Limoeiro do Norte";1
"230765 Maracanaú";11
"230770 Maranguape";3
"230837 Miraíma";2
"230860 Monsenhor Tabosa";1
"230870 Morada Nova";1
"230900 Mucambo";1
"230970 Pacatuba";1
"231010 Palmácia";1
"231020 Paracuru";1
"231025 Paraipaba";1
"231040 Paramoti";1
"231080 Pereiro";1
"231130 Quixadá";1
"231140 Quixeramobim";1
"231160 Redenção";1
"231170 Reriutaba";1
"231200 Santana do Acaraú";1
"231230 São Benedito";2
"231240 São Gonçalo do Amarante";1
"231260 São Luís do Curu";1
"231290 Sobral";9
"231320 Tamboril";1
"231330 Tauá";1
"231355 Tururu";1
"231360 Ubajara";3
"231395 Varjota";1
"231400 Várzea Alegre";1
"240010 Acari";1
"240020 Açu";2
"240050 Alexandria";1
"240070 Alto do Rodrigues";1
"240110 Areia Branca";4
"240140 Baía Formosa";2
"240170 Bom Jesus";1
"240180 Brejinho";1
"240190 Caiçara do Rio do Vento";1
"240220 Canguaretama";2
"240230 Caraúbas";2
"240310 Currais Novos";2
"240320 Doutor Severiano";1
"240360 Extremoz";5
"240420 Goianinha";1
"240430 Governador Dix-Sept Rosado";1
"240510 Jandaíra";1
"240580 João Câmara";2
"240600 José da Penha";1
"240610 Jucurutu";2
"240710 Macaíba";1
"240720 Macau";3
"240740 Martins";1
"240800 Mossoró";7
"240810 Natal";66
"240830 Nova Cruz";1
"240890 Parelhas";1
"240325 Parnamirim";3
"240910 Passa e Fica";1
"240940 Pau dos Ferros";2
"240980 Pedro Velho";1
"241090 Riachuelo";1
"241120 Santa Cruz";2
