"Município (Res)";"Freqüência"
"110040 Alto Paraíso";4
"110002 Ariquemes";11
"110045 Buritis";4
"110004 Cacoal";3
"110070 Campo Novo de Rondônia";2
"110080 Candeias do Jamari";8
"110005 Cerejeiras";4
"110092 Chupinguaia";1
"110006 Colorado do Oeste";4
"110094 Cujubim";2
"110009 Espigão D'Oeste";3
"110010 Guajará-Mirim";8
"110011 Jaru";6
"110012 Ji-Paraná";21
"110013 Machadinho D'Oeste";1
"110140 Monte Negro";1
"110014 Nova Brasilândia D'Oeste";3
"110143 Nova União";1
"110015 Ouro Preto do Oeste";5
"110018 Pimenta Bueno";2
"110020 Porto Velho";163
"110025 Presidente Médici";1
"110028 Rolim de Moura";3
"110029 Santa Luzia D'Oeste";1
"110150 Seringueiras";1
"110030 Vilhena";17
"110000 Município ignorado - RO";1
"120010 Brasiléia";1
"120017 Capixaba";1
"120020 Cruzeiro do Sul";1
"120034 Manoel Urbano";2
"120035 Marechal Thaumaturgo";1
"120038 Plácido de Castro";1
"120040 Rio Branco";49
"120050 Sena Madureira";6
"120045 Senador Guiomard";1
"130014 Apuí";1
"130060 Benjamin Constant";6
"130068 Boa Vista do Ramos";1
"130080 Borba";7
"130110 Careiro";1
"130115 Careiro da Várzea";1
"130120 Coari";4
"130130 Codajás";1
"130160 Fonte Boa";2
"130170 Humaitá";5
"130185 Iranduba";10
"130190 Itacoatiara";17
"130200 Itapiranga";1
"130240 Lábrea";1
"130250 Manacapuru";8
"130255 Manaquiri";2
"130260 Manaus";828
"130270 Manicoré";2
"130290 Maués";2
"130340 Parintins";20
"130353 Presidente Figueiredo";4
"130356 Rio Preto da Eva";4
"130370 Santo Antônio do Içá";1
"130390 São Paulo de Olivença";2
"130406 Tabatinga";20
"130420 Tefé";13
"130440 Urucurituba";1
"140010 Boa Vista";148
"140015 Bonfim";1
"140017 Cantá";2
"140020 Caracaraí";2
"140030 Mucajaí";1
"140045 Pacaraima";4
"140047 Rorainópolis";3
"140050 São João da Baliza";1
"150010 Abaetetuba";19
"150013 Abel Figueiredo";2
"150020 Acará";1
"150040 Alenquer";1
"150060 Altamira";11
"150080 Ananindeua";145
"150090 Augusto Corrêa";5
"150095 Aurora do Pará";1
"150110 Bagre";1
"150120 Baião";2
"150125 Bannach";1
"150130 Barcarena";17
"150140 Belém";608
"150150 Benevides";7
"150170 Bragança";23
"150178 Breu Branco";9
"150180 Breves";1
"150190 Bujaru";3
"150200 Cachoeira do Arari";1
"150195 Cachoeira do Piriá";11
"150210 Cametá";6
"150215 Canaã dos Carajás";3
"150220 Capanema";6
"150230 Capitão Poço";1
"150240 Castanhal";34
"150270 Conceição do Araguaia";2
"150276 Cumaru do Norte";1
"150277 Curionópolis";6
"150280 Curralinho";1
"150290 Curuçá";1
"150293 Dom Eliseu";2
"150295 Eldorado dos Carajás";3
"150309 Goianésia do Pará";5
"150320 Igarapé-Açu";3
"150330 Igarapé-Miri";2
"150340 Inhangapi";1
"150345 Ipixuna do Pará";6
"150350 Irituia";2
"150360 Itaituba";7
"150370 Itupiranga";1
"150375 Jacareacanga";1
"150380 Jacundá";8
"150390 Juruti";1
"150400 Limoeiro do Ajuru";1
"150405 Mãe do Rio";1
"150420 Marabá";55
"150430 Maracanã";3
"150440 Marapanim";4
"150442 Marituba";36
"150445 Medicilândia";1
"150470 Moju";5
"150490 Muaná";2
"150497 Nova Ipixuna";2
"150500 Nova Timboteua";2
"150503 Novo Progresso";8
"150506 Novo Repartimento";13
"150510 Óbidos";12
"150530 Oriximiná";3
"150540 Ourém";1
"150543 Ourilândia do Norte";1
"150548 Pacajá";2
"150550 Paragominas";22
"150553 Parauapebas";32
"150560 Peixe-Boi";1
"150565 Placas";1
"150580 Portel";1
"150600 Prainha";2
"150610 Primavera";2
"150611 Quatipuru";1
"150613 Redenção";18
"150616 Rio Maria";2
"150618 Rondon do Pará";7
"150620 Salinópolis";9
"150630 Salvaterra";3
"150635 Santa Bárbara do Pará";1
"150650 Santa Isabel do Pará";10
"150660 Santa Maria do Pará";2
"150670 Santana do Araguaia";2
"150680 Santarém";47
"150690 Santarém Novo";1
"150700 Santo Antônio do Tauá";2
"150710 São Caetano de Odivelas";6
"150715 São Domingos do Araguaia";2
"150720 São Domingos do Capim";2
"150730 São Félix do Xingu";17
"150740 São Francisco do Pará";2
"150746 São João da Ponta";1
"150747 São João de Pirabas";3
"150760 São Miguel do Guamá";7
"150770 São Sebastião da Boa Vista";2
"150790 Soure";1
"150795 Tailândia";9
"150797 Terra Santa";3
"150800 Tomé-Açu";4
"150803 Tracuateua";2
"150808 Tucumã";5
"150810 Tucuruí";28
"150812 Ulianópolis";3
"150815 Uruará";3
"150820 Vigia";5
"150830 Viseu";3
"150840 Xinguara";2
"160020 Calçoene";3
"160023 Ferreira Gomes";2
"160027 Laranjal do Jari";3
"160030 Macapá";75
"160050 Oiapoque";10
"160015 Pedra Branca do Amapari";1
"160053 Porto Grande";1
"160060 Santana";15
"160070 Tartarugalzinho";1
"170030 Aguiarnópolis";1
"170035 Aliança do Tocantins";5
"170040 Almas";1
"170070 Alvorada";1
"170100 Ananás";4
"170210 Araguaína";14
"170215 Araguanã";1
"170220 Araguatins";2
"170230 Arapoema";1
"170255 Augustinópolis";2
"170270 Aurora do Tocantins";1
"170310 Barrolândia";1
"170320 Bernardo Sayão";1
"170384 Campos Lindos";2
"170386 Cariri do Tocantins";1
"170550 Colinas do Tocantins";7
"170600 Couto de Magalhães";1
"170700 Dianópolis";3
"170820 Formoso do Araguaia";2
"170825 Fortaleza do Tabocão";1
"170930 Guaraí";3
"170950 Gurupi";8
"171190 Lagoa da Confusão";1
"171200 Lajeado";2
"171245 Luzinópolis";1
"171320 Miracema do Tocantins";2
"171330 Miranorte";1
"171420 Natividade";1
"171488 Nova Olinda";2
"172100 Palmas";35
"171610 Paraíso do Tocantins";3
"171630 Pau D'Arco";1
"171650 Pedro Afonso";1
"171660 Peixe";1
"171820 Porto Nacional";2
"171886 Santa Fé do Araguaia";3
"172030 São Sebastião do Tocantins";2
"172065 Silvanópolis";1
"172080 Sítio Novo do Tocantins";2
"172090 Taguatinga";2
"172120 Tocantinópolis";1
"172210 Xambioá";2
"210005 Açailândia";18
"210010 Afonso Cunha";3
"210020 Alcântara";1
"210030 Aldeias Altas";1
"210043 Alto Alegre do Maranhão";15
"210070 Anajatuba";1
"210083 Apicum-Açu";1
"210087 Araguanã";1
"210100 Arari";6
"210110 Axixá";2
"210120 Bacabal";24
"210125 Bacabeira";3
"210130 Bacuri";1
"210140 Balsas";11
"210150 Barão de Grajaú";1
"210160 Barra do Corda";22
"210170 Barreirinhas";3
"210190 Bequimão";2
"210200 Bom Jardim";2
"210203 Bom Jesus das Selvas";2
"210210 Brejo";3
"210232 Buriticupu";3
"210235 Buritirana";1
"210275 Capinzal do Norte";2
"210290 Carutapera";1
"210300 Caxias";30
"210310 Cedral";1
"210315 Centro do Guilherme";1
"210317 Centro Novo do Maranhão";1
"210320 Chapadinha";3
"210325 Cidelândia";2
"210330 Codó";10
"210340 Coelho Neto";13
"210350 Colinas";5
"210355 Conceição do Lago-Açu";1
"210360 Coroatá";8
"210370 Cururupu";2
"210375 Davinópolis";2
"210390 Duque Bacelar";1
"210400 Esperantinópolis";4
"210405 Estreito";1
"210410 Fortaleza dos Nogueiras";1
"210420 Fortuna";1
"210455 Governador Edison Lobão";1
"210460 Governador Eugênio Barros";5
"210462 Governador Luiz Rocha";3
"210480 Grajaú";4
"210490 Guimarães";1
"210500 Humberto de Campos";2
"210510 Icatu";2
"210515 Igarapé do Meio";2
"210530 Imperatriz";47
"210540 Itapecuru Mirim";4
"210542 Itinga do Maranhão";4
"210565 Junco do Maranhão";2
"210570 Lago da Pedra";1
"210594 Lago dos Rodrigues";1
"210590 Lago Verde";3
"210592 Lagoa do Mato";1
"210610 Loreto";1
"210620 Luís Domingues";1
"210632 Maracaçumé";1
"210637 Maranhãozinho";1
"210660 Matões";1
"210670 Mirador";1
"210675 Miranda do Norte";7
"210680 Mirinzal";1
"210700 Montes Altos";1
"210710 Morros";2
"210720 Nina Rodrigues";1
"210735 Nova Olinda do Maranhão";1
"210740 Olho d'Água das Cunhãs";1
"210750 Paço do Lumiar";21
"210760 Palmeirândia";1
"210770 Paraibano";1
"210780 Parnarama";1
"210790 Passagem Franca";1
"210805 Paulino Neves";2
"210820 Pedreiras";7
"210825 Pedro do Rosário";1
"210845 Peritoró";1
"210850 Pindaré-Mirim";2
"210860 Pinheiro";5
"210870 Pio XII";1
"210880 Pirapemas";2
"210890 Poção de Pedras";2
"210900 Porto Franco";3
"210905 Porto Rico do Maranhão";3
