"Município (Res)";"Freqüência"
"110034 Alvorada D'Oeste";1
"110002 Ariquemes";7
"110004 Cacoal";4
"110080 Candeias do Jamari";4
"110005 Cerejeiras";3
"110009 Espigão D'Oeste";1
"110010 Guajará-Mirim";10
"110011 Jaru";3
"110012 Ji-Paraná";8
"110033 Nova Mamoré";4
"110143 Nova União";1
"110015 Ouro Preto do Oeste";2
"110018 Pimenta Bueno";1
"110020 Porto Velho";71
"110025 Presidente Médici";2
"110028 Rolim de Moura";1
"110160 Theobroma";1
"110170 Urupá";1
"110030 Vilhena";5
"120005 Assis Brasil";1
"120017 Capixaba";1
"120020 Cruzeiro do Sul";2
"120025 Epitaciolândia";2
"120040 Rio Branco";21
"120050 Sena Madureira";2
"120045 Senador Guiomard";1
"120070 Xapuri";1
"130014 Apuí";2
"130030 Autazes";1
"130050 Barreirinha";4
"130080 Borba";1
"130083 Caapiranga";1
"130110 Careiro";4
"130120 Coari";3
"130130 Codajás";1
"130160 Fonte Boa";1
"130170 Humaitá";4
"130185 Iranduba";5
"130190 Itacoatiara";6
"130230 Jutaí";1
"130240 Lábrea";1
"130250 Manacapuru";2
"130260 Manaus";459
"130270 Manicoré";2
"130290 Maués";2
"130310 Nova Olinda do Norte";2
"130320 Novo Airão";2
"130330 Novo Aripuanã";1
"130340 Parintins";4
"130353 Presidente Figueiredo";4
"130356 Rio Preto da Eva";3
"130390 São Paulo de Olivença";3
"130406 Tabatinga";1
"130410 Tapauá";1
"130420 Tefé";2
"140010 Boa Vista";68
"140017 Cantá";2
"140020 Caracaraí";1
"140030 Mucajaí";2
"140047 Rorainópolis";1
"140060 São Luiz";2
"150010 Abaetetuba";12
"150020 Acará";2
"150030 Afuá";1
"150040 Alenquer";4
"150050 Almeirim";1
"150060 Altamira";7
"150080 Ananindeua";74
"150085 Anapu";3
"150090 Augusto Corrêa";1
"150095 Aurora do Pará";1
"150100 Aveiro";1
"150120 Baião";1
"150130 Barcarena";7
"150140 Belém";267
"150150 Benevides";4
"150160 Bonito";1
"150170 Bragança";15
"150172 Brasil Novo";2
"150178 Breu Branco";1
"150180 Breves";6
"150190 Bujaru";3
"150200 Cachoeira do Arari";3
"150195 Cachoeira do Piriá";1
"150210 Cametá";5
"150215 Canaã dos Carajás";3
"150220 Capanema";4
"150230 Capitão Poço";3
"150240 Castanhal";24
"150250 Chaves";1
"150270 Conceição do Araguaia";2
"150276 Cumaru do Norte";1
"150277 Curionópolis";2
"150280 Curralinho";3
"150285 Curuá";1
"150290 Curuçá";5
"150293 Dom Eliseu";4
"150295 Eldorado dos Carajás";1
"150307 Garrafão do Norte";2
"150309 Goianésia do Pará";4
"150320 Igarapé-Açu";3
"150330 Igarapé-Miri";5
"150345 Ipixuna do Pará";3
"150350 Irituia";2
"150360 Itaituba";17
"150370 Itupiranga";4
"150375 Jacareacanga";1
"150380 Jacundá";6
"150390 Juruti";5
"150405 Mãe do Rio";4
"150410 Magalhães Barata";1
"150420 Marabá";31
"150430 Maracanã";3
"150440 Marapanim";3
"150442 Marituba";23
"150445 Medicilândia";2
"150450 Melgaço";1
"150470 Moju";5
"150490 Muaná";4
"150497 Nova Ipixuna";1
"150503 Novo Progresso";4
"150506 Novo Repartimento";5
"150510 Óbidos";7
"150520 Oeiras do Pará";1
"150530 Oriximiná";2
"150540 Ourém";2
"150543 Ourilândia do Norte";1
"150548 Pacajá";3
"150550 Paragominas";6
"150553 Parauapebas";56
"150570 Ponta de Pedras";5
"150600 Prainha";1
"150610 Primavera";2
"150611 Quatipuru";1
"150613 Redenção";7
"150618 Rondon do Pará";1
"150620 Salinópolis";8
"150630 Salvaterra";3
"150640 Santa Cruz do Arari";1
"150650 Santa Isabel do Pará";12
"150655 Santa Luzia do Pará";2
"150658 Santa Maria das Barreiras";1
"150660 Santa Maria do Pará";3
"150680 Santarém";47
"150710 São Caetano de Odivelas";1
"150715 São Domingos do Araguaia";1
"150720 São Domingos do Capim";2
"150730 São Félix do Xingu";2
"150740 São Francisco do Pará";3
"150745 São Geraldo do Araguaia";3
"150746 São João da Ponta";1
"150750 São João do Araguaia";1
"150760 São Miguel do Guamá";4
"150775 Sapucaia";1
"150780 Senador José Porfírio";1
"150790 Soure";4
"150795 Tailândia";7
"150796 Terra Alta";1
"150797 Terra Santa";2
"150800 Tomé-Açu";8
"150803 Tracuateua";2
"150808 Tucumã";2
"150810 Tucuruí";11
"150812 Ulianópolis";2
"150815 Uruará";2
"150820 Vigia";6
"150830 Viseu";2
"150835 Vitória do Xingu";1
"150840 Xinguara";4
"160020 Calçoene";1
"160023 Ferreira Gomes";1
"160027 Laranjal do Jari";2
"160030 Macapá";78
"160040 Mazagão";2
"160050 Oiapoque";5
"160015 Pedra Branca do Amapari";1
"160053 Porto Grande";2
"160060 Santana";8
"160080 Vitória do Jari";1
"170030 Aguiarnópolis";1
"170070 Alvorada";1
"170210 Araguaína";18
"170230 Arapoema";1
"170255 Augustinópolis";3
"170290 Axixá do Tocantins";2
"170370 Brejinho de Nazaré";1
"170510 Chapada da Natividade";1
"170600 Couto de Magalhães";2
"170730 Dueré";1
"170930 Guaraí";2
"170950 Gurupi";7
"171200 Lajeado";1
"171330 Miranorte";1
"171488 Nova Olinda";2
"172100 Palmas";21
"171570 Palmeirante";1
"171610 Paraíso do Tocantins";3
"171660 Peixe";1
"171665 Pequizeiro";1
"171880 Sampaio";1
"172030 São Sebastião do Tocantins";1
"172110 Tocantínia";1
"172120 Tocantinópolis";1
"172208 Wanderlândia";2
"172210 Xambioá";2
"210005 Açailândia";2
"210020 Alcântara";1
"210043 Alto Alegre do Maranhão";9
"210060 Amarante do Maranhão";2
"210080 Anapurus";1
"210083 Apicum-Açu";1
"210090 Araioses";1
"210100 Arari";1
"210120 Bacabal";21
"210130 Bacuri";3
"210140 Balsas";3
"210160 Barra do Corda";6
"210170 Barreirinhas";5
"210177 Bela Vista do Maranhão";2
"210190 Bequimão";3
"210200 Bom Jardim";3
"210207 Bom Lugar";1
"210215 Brejo de Areia";1
"210235 Buritirana";1
"210260 Cândido Mendes";2
"210290 Carutapera";1
"210300 Caxias";19
"210310 Cedral";1
"210320 Chapadinha";4
"210330 Codó";32
"210340 Coelho Neto";3
"210350 Colinas";5
"210360 Coroatá";4
"210370 Cururupu";5
"210405 Estreito";2
"210409 Formosa da Serra Negra";1
"210420 Fortuna";3
"210450 Governador Archer";1
"210465 Governador Newton Bello";1
"210467 Governador Nunes Freire";1
"210480 Grajaú";1
"210490 Guimarães";2
"210510 Icatu";1
"210515 Igarapé do Meio";1
"210520 Igarapé Grande";2
"210530 Imperatriz";11
"210540 Itapecuru Mirim";3
"210542 Itinga do Maranhão";1
"210545 Jatobá";2
"210550 João Lisboa";1
"210560 Joselândia";1
"210570 Lago da Pedra";3
"210580 Lago do Junco";1
"210594 Lago dos Rodrigues";1
"210590 Lago Verde";1
"210598 Lajeado Novo";1
"210600 Lima Campos";1
"210650 Matinha";2
"210660 Matões";3
"210663 Matões do Norte";1
"210675 Miranda do Norte";1
"210680 Mirinzal";2
"210735 Nova Olinda do Maranhão";2
"210740 Olho d'Água das Cunhãs";1
"210750 Paço do Lumiar";15
"210760 Palmeirândia";1
"210790 Passagem Franca";3
"210820 Pedreiras";6
"210825 Pedro do Rosário";1
"210830 Penalva";1
"210840 Peri Mirim";1
"210845 Peritoró";1
"210860 Pinheiro";11
"210870 Pio XII";6
"210880 Pirapemas";6
"210900 Porto Franco";1
"210905 Porto Rico do Maranhão";3
"210910 Presidente Dutra";6
"210927 Presidente Sarney";2
"210945 Raposa";6
"210960 Rosário";3
"210980 Santa Helena";4
"210990 Santa Inês";3
"211000 Santa Luzia";4
"211003 Santa Luzia do Paruá";1
"211027 Santo Amaro do Maranhão";1
"211030 Santo Antônio dos Lopes";2
"211050 São Bento";1
"211070 São Domingos do Maranhão";2
"211090 São Francisco do Maranhão";1
"211107 São João do Soter";1
"211120 São José de Ribamar";21
"211130 São Luís";190
"211140 São Luís Gonzaga do Maranhão";1
"211150 São Mateus do Maranhão";5
"211178 Serrano do Maranhão";1
"211210 Timbiras";3
"211220 Timon";12
"211223 Trizidela do Vale";4
"211230 Tuntum";2
"211240 Turiaçu";1
"211245 Turilândia";1
"211250 Tutóia";3
"211260 Urbano Santos";1
"211270 Vargem Grande";3
"211280 Viana";3
"211290 Vitória do Mearim";2
"211300 Vitorino Freire";2
"211400 Zé Doca";2
"220030 Alto Longá";1
"220040 Altos";4
"220180 Bocaina";2
"220196 Brasileira";2
"220200 Buriti dos Lopes";1
"220205 Cabeceiras do Piauí";2
"220220 Campo Maior";5
"220250 Caracol";1
"220350 Elesbão Veloso";1
"220370 Esperantina";1
"220390 Floriano";4
"220420 Francisco Santos";1
"220430 Fronteiras";1
"220465 Ilha Grande";1
"220527 Jatobá do Piauí";1
"220550 José de Freitas";4
"220551 Juazeiro do Piauí";1
"220570 Luís Correia";1
"220580 Luzilândia";3
"220620 Miguel Alves";1
"220630 Miguel Leão";1
"220700 Oeiras";6
"220770 Parnaíba";22
"220790 Pedro II";1
"220800 Picos";5
"220820 Pio IX";1
"220840 Piripiri";8
"220880 Regeneração";4
"220920 Santa Filomena";1
"220955 São Braz do Piauí";1
"221000 São João do Piauí";1
"221037 São Luis do Piauí";1
"221038 São Miguel da Baixa Grande";2
"221040 São Miguel do Tapuio";1
"221063 Sebastião Leal";1
"221080 Simplício Mendes";2
"221100 Teresina";90
"221110 União";4
"221120 Uruçuí";1
"221130 Valença do Piauí";1
"221150 Vera Mendes";1
"230020 Acaraú";2
"230030 Acopiara";1
"230050 Alcântaras";1
"230090 Apuiarés";1
"230100 Aquiraz";4
"230110 Aracati";4
"230130 Araripe";2
"230140 Aratuba";1
"230150 Arneiroz";1
"230190 Barbalha";5
"230195 Barreira";1
"230205 Barroquinha";1
"230220 Beberibe";2
"230230 Bela Cruz";3
"230240 Boa Viagem";2
"230250 Brejo Santo";3
"230260 Camocim";2
"230280 Canindé";4
"230290 Capistrano";1
"230320 Caririaçu";1
"230350 Cascavel";1
"230370 Caucaia";18
"230395 Chorozinho";1
"230410 Crateús";4
"230420 Crato";10
"230428 Eusébio";4
"230440 Fortaleza";307
"230445 Fortim";1
"230465 Graça";1
"230470 Granja";1
"230500 Guaraciaba do Norte";1
"230523 Horizonte";5
"230530 Ibiapina";2
"230535 Icapuí";1
"230550 Iguatu";7
"230570 Ipaumirim";2
"230590 Ipueiras";4
"230625 Itaitinga";6
"230630 Itapagé";1
"230640 Itapipoca";4
"230650 Itapiúna";1
"230655 Itarema";1
"230660 Itatira";2
"230690 Jaguaribe";1
"230730 Juazeiro do Norte";14
"230740 Jucás";1
"230760 Limoeiro do Norte";2
"230763 Madalena";1
"230765 Maracanaú";22
"230770 Maranguape";3
"230780 Marco";1
"230800 Massapê";1
"230810 Mauriti";1
"230830 Milagres";1
"230840 Missão Velha";1
"230850 Mombaça";1
"230870 Morada Nova";2
"230900 Mucambo";1
"230940 Novo Oriente";1
"230960 Pacajus";8
"230970 Pacatuba";2
"231000 Palhano";1
"231020 Paracuru";2
"231030 Parambu";1
"231050 Pedra Branca";1
"231070 Pentecoste";2
"231120 Potengi";1
"231130 Quixadá";3
"231140 Quixeramobim";1
"231150 Quixeré";2
"231160 Redenção";1
"231170 Reriutaba";2
"231180 Russas";4
"231195 Salitre";1
"231230 São Benedito";1
"231240 São Gonçalo do Amarante";3
"231260 São Luís do Curu";1
"231290 Sobral";9
"231300 Solonópole";1
"231320 Tamboril";1
"231330 Tauá";3
"231355 Tururu";2
"231380 Uruburetama";1
"231390 Uruoca";2
"240010 Acari";1
"240020 Açu";2
"240080 Angicos";2
"240110 Areia Branca";1
"240130 Augusto Severo";1
"240170 Bom Jesus";1
"240200 Caicó";1
"240220 Canguaretama";9
