"Município (Res)";"Freqüência"
"110037 Alto Alegre dos Parecis";2
"110040 Alto Paraíso";4
"110002 Ariquemes";19
"110045 Buritis";1
"110004 Cacoal";10
"110070 Campo Novo de Rondônia";1
"110080 Candeias do Jamari";3
"110090 Castanheiras";1
"110005 Cerejeiras";1
"110092 Chupinguaia";1
"110094 Cujubim";1
"110009 Espigão D'Oeste";1
"110010 Guajará-Mirim";11
"110011 Jaru";1
"110012 Ji-Paraná";24
"110013 Machadinho D'Oeste";4
"110120 Ministro Andreazza";1
"110140 Monte Negro";2
"110015 Ouro Preto do Oeste";6
"110018 Pimenta Bueno";4
"110020 Porto Velho";183
"110025 Presidente Médici";1
"110028 Rolim de Moura";7
"110030 Vilhena";14
"120001 Acrelândia";2
"120005 Assis Brasil";1
"120013 Bujari";1
"120017 Capixaba";1
"120020 Cruzeiro do Sul";2
"120034 Manoel Urbano";3
"120040 Rio Branco";39
"120042 Rodrigues Alves";2
"120050 Sena Madureira";7
"120045 Senador Guiomard";3
"120070 Xapuri";1
"130006 Amaturá";1
"130014 Apuí";1
"130020 Atalaia do Norte";1
"130030 Autazes";2
"130050 Barreirinha";5
"130060 Benjamin Constant";18
"130063 Beruri";1
"130080 Borba";4
"130110 Careiro";4
"130120 Coari";8
"130130 Codajás";1
"130160 Fonte Boa";1
"130170 Humaitá";5
"130185 Iranduba";10
"130190 Itacoatiara";20
"130200 Itapiranga";1
"130250 Manacapuru";12
"130260 Manaus";938
"130270 Manicoré";6
"130290 Maués";4
"130310 Nova Olinda do Norte";2
"130320 Novo Airão";1
"130340 Parintins";23
"130353 Presidente Figueiredo";7
"130356 Rio Preto da Eva";3
"130380 São Gabriel da Cachoeira";1
"130390 São Paulo de Olivença";3
"130406 Tabatinga";17
"130420 Tefé";19
"130426 Uarini";1
"130430 Urucará";1
"130440 Urucurituba";3
"140005 Alto Alegre";2
"140010 Boa Vista";135
"140015 Bonfim";3
"140017 Cantá";4
"140020 Caracaraí";2
"140023 Caroebe";1
"140028 Iracema";1
"140030 Mucajaí";3
"140040 Normandia";2
"140045 Pacaraima";3
"140047 Rorainópolis";4
"140050 São João da Baliza";2
"140060 São Luiz";1
"140070 Uiramutã";1
"150010 Abaetetuba";14
"150013 Abel Figueiredo";2
"150020 Acará";1
"150030 Afuá";1
"150050 Almeirim";1
"150060 Altamira";9
"150070 Anajás";1
"150080 Ananindeua";148
"150085 Anapu";2
"150090 Augusto Corrêa";4
"150095 Aurora do Pará";1
"150110 Bagre";1
"150120 Baião";2
"150130 Barcarena";17
"150140 Belém";571
"150150 Benevides";22
"150170 Bragança";31
"150172 Brasil Novo";1
"150178 Breu Branco";18
"150180 Breves";4
"150190 Bujaru";8
"150200 Cachoeira do Arari";1
"150195 Cachoeira do Piriá";1
"150210 Cametá";6
"150215 Canaã dos Carajás";9
"150220 Capanema";13
"150230 Capitão Poço";1
"150240 Castanhal";24
"150260 Colares";2
"150270 Conceição do Araguaia";2
"150275 Concórdia do Pará";5
"150277 Curionópolis";3
"150280 Curralinho";2
"150290 Curuçá";7
"150293 Dom Eliseu";10
"150295 Eldorado dos Carajás";7
"150307 Garrafão do Norte";1
"150309 Goianésia do Pará";11
"150310 Gurupá";2
"150320 Igarapé-Açu";3
"150330 Igarapé-Miri";4
"150340 Inhangapi";1
"150345 Ipixuna do Pará";6
"150350 Irituia";2
"150360 Itaituba";21
"150370 Itupiranga";5
"150380 Jacundá";8
"150390 Juruti";2
"150400 Limoeiro do Ajuru";1
"150405 Mãe do Rio";4
"150410 Magalhães Barata";1
"150420 Marabá";59
"150430 Maracanã";2
"150440 Marapanim";1
"150442 Marituba";28
"150445 Medicilândia";2
"150460 Mocajuba";1
"150470 Moju";8
"150480 Monte Alegre";2
"150490 Muaná";3
"150497 Nova Ipixuna";2
"150503 Novo Progresso";12
"150506 Novo Repartimento";12
"150510 Óbidos";8
"150520 Oeiras do Pará";2
"150530 Oriximiná";4
"150540 Ourém";1
"150543 Ourilândia do Norte";8
"150548 Pacajá";4
"150550 Paragominas";32
"150553 Parauapebas";42
"150563 Piçarra";3
"150565 Placas";1
"150570 Ponta de Pedras";4
"150590 Porto de Moz";1
"150610 Primavera";3
"150611 Quatipuru";3
"150613 Redenção";24
"150616 Rio Maria";3
"150618 Rondon do Pará";9
"150619 Rurópolis";2
"150620 Salinópolis";3
