"Município (Res)";"Freqüência"
"110002 Ariquemes";4
"110080 Candeias do Jamari";1
"110092 Chupinguaia";1
"110009 Espigão D'Oeste";1
"110010 Guajará-Mirim";1
"110012 Ji-Paraná";1
"110018 Pimenta Bueno";2
"110146 Pimenteiras do Oeste";1
"110020 Porto Velho";50
"110029 Santa Luzia D'Oeste";1
"110030 Vilhena";13
"120040 Rio Branco";23
"120045 Senador Guiomard";2
"130140 Eirunepé";1
"130170 Humaitá";1
"130185 Iranduba";1
"130230 Jutaí";1
"130250 Manacapuru";3
"130260 Manaus";260
"130270 Manicoré";1
"130290 Maués";1
"130310 Nova Olinda do Norte";1
"130320 Novo Airão";1
"130340 Parintins";2
"130353 Presidente Figueiredo";2
"130356 Rio Preto da Eva";1
"130390 São Paulo de Olivença";1
"130406 Tabatinga";2
"130420 Tefé";3
"140005 Alto Alegre";1
"140010 Boa Vista";20
"140020 Caracaraí";1
"140040 Normandia";1
"140000 Município ignorado - RR";1
"150010 Abaetetuba";1
"150060 Altamira";1
"150080 Ananindeua";27
"150130 Barcarena";1
"150140 Belém";161
"150170 Bragança";2
"150172 Brasil Novo";1
"150220 Capanema";2
"150230 Capitão Poço";1
"150240 Castanhal";7
"150270 Conceição do Araguaia";1
"150276 Cumaru do Norte";1
"150277 Curionópolis";1
"150290 Curuçá";2
"150295 Eldorado dos Carajás";1
"150320 Igarapé-Açu";1
"150360 Itaituba";3
"150420 Marabá";16
"150440 Marapanim";1
"150442 Marituba";7
"150470 Moju";1
"150490 Muaná";1
"150506 Novo Repartimento";1
"150510 Óbidos";1
"150530 Oriximiná";2
"150549 Palestina do Pará";1
"150550 Paragominas";3
"150553 Parauapebas";4
"150563 Piçarra";1
"150613 Redenção";5
"150650 Santa Isabel do Pará";2
"150660 Santa Maria do Pará";1
"150680 Santarém";15
"150690 Santarém Novo";2
"150730 São Félix do Xingu";2
"150745 São Geraldo do Araguaia";1
"150747 São João de Pirabas";1
"150760 São Miguel do Guamá";2
"150808 Tucumã";2
"150810 Tucuruí";4
"160027 Laranjal do Jari";2
"160030 Macapá";32
"160050 Oiapoque";2
"160015 Pedra Branca do Amapari";1
"160060 Santana";2
"170100 Ananás";1
"170210 Araguaína";16
"170220 Araguatins";3
"170255 Augustinópolis";1
"170550 Colinas do Tocantins";1
"171670 Colméia";2
"170900 Goiatins";2
"170930 Guaraí";2
"170950 Gurupi";2
"171320 Miracema do Tocantins";1
"172100 Palmas";16
"171820 Porto Nacional";1
"172065 Silvanópolis";1
"210005 Açailândia";3
"210015 Água Doce do Maranhão";1
"210095 Arame";1
"210100 Arari";1
"210120 Bacabal";9
"210135 Bacurituba";1
"210203 Bom Jesus das Selvas";2
"210210 Brejo";1
"210220 Buriti";1
"210232 Buriticupu";5
"210300 Caxias";10
"210320 Chapadinha";1
"210330 Codó";9
"210340 Coelho Neto";1
"210355 Conceição do Lago-Açu";1
"210360 Coroatá";1
"210480 Grajaú";1
"210490 Guimarães";1
"210530 Imperatriz";32
"210540 Itapecuru Mirim";5
"210542 Itinga do Maranhão";2
"210550 João Lisboa";2
"210594 Lago dos Rodrigues";1
"210590 Lago Verde";1
"210610 Loreto";1
"210675 Miranda do Norte";1
"210730 Nova Iorque";1
"210750 Paço do Lumiar";5
"210780 Parnarama";1
"210820 Pedreiras";3
"210900 Porto Franco";2
"210960 Rosário";3
