"Município (Res)";"Freqüência"
"110001 Alta Floresta D'Oeste";1
"110040 Alto Paraíso";1
"110002 Ariquemes";19
"110045 Buritis";2
"110004 Cacoal";15
"110070 Campo Novo de Rondônia";1
"110080 Candeias do Jamari";11
"110005 Cerejeiras";2
"110092 Chupinguaia";2
"110006 Colorado do Oeste";1
"110008 Costa Marques";1
"110094 Cujubim";1
"110009 Espigão D'Oeste";1
"110010 Guajará-Mirim";9
"110011 Jaru";6
"110012 Ji-Paraná";19
"110013 Machadinho D'Oeste";2
"110140 Monte Negro";1
"110033 Nova Mamoré";5
"110143 Nova União";3
"110015 Ouro Preto do Oeste";3
"110018 Pimenta Bueno";4
"110020 Porto Velho";277
"110025 Presidente Médici";3
"110026 Rio Crespo";3
"110028 Rolim de Moura";6
"110149 São Francisco do Guaporé";1
"110030 Vilhena";14
"120005 Assis Brasil";2
"120020 Cruzeiro do Sul";3
"120033 Mâncio Lima";1
"120034 Manoel Urbano";1
"120038 Plácido de Castro";2
"120080 Porto Acre";1
"120040 Rio Branco";53
"120042 Rodrigues Alves";1
"120050 Sena Madureira";4
"120045 Senador Guiomard";2
"120070 Xapuri";2
"130002 Alvarães";1
"130006 Amaturá";1
"130010 Anori";3
"130014 Apuí";6
"130030 Autazes";8
"130040 Barcelos";2
"130050 Barreirinha";2
"130060 Benjamin Constant";13
"130063 Beruri";2
"130068 Boa Vista do Ramos";4
"130070 Boca do Acre";1
"130080 Borba";8
"130083 Caapiranga";2
"130090 Canutama";1
"130100 Carauari";1
"130110 Careiro";1
"130115 Careiro da Várzea";3
"130120 Coari";7
"130140 Eirunepé";1
"130160 Fonte Boa";2
"130170 Humaitá";15
"130185 Iranduba";15
"130190 Itacoatiara";28
"130230 Jutaí";1
"130240 Lábrea";3
"130250 Manacapuru";18
"130255 Manaquiri";2
"130260 Manaus";1272
"130270 Manicoré";4
"130280 Maraã";3
"130290 Maués";12
"130300 Nhamundá";1
"130310 Nova Olinda do Norte";3
"130320 Novo Airão";7
"130330 Novo Aripuanã";1
"130340 Parintins";18
"130353 Presidente Figueiredo";8
"130356 Rio Preto da Eva";8
"130370 Santo Antônio do Içá";2
"130380 São Gabriel da Cachoeira";2
"130390 São Paulo de Olivença";2
"130406 Tabatinga";23
"130420 Tefé";17
"130426 Uarini";2
"130440 Urucurituba";7
"140005 Alto Alegre";1
"140010 Boa Vista";119
"140015 Bonfim";1
"140017 Cantá";1
"140020 Caracaraí";3
"140023 Caroebe";1
"140028 Iracema";1
"140030 Mucajaí";9
"140040 Normandia";2
"140045 Pacaraima";3
"140047 Rorainópolis";3
"140070 Uiramutã";2
"150010 Abaetetuba";12
"150020 Acará";1
"150040 Alenquer";3
"150060 Altamira";19
"150070 Anajás";1
"150080 Ananindeua";159
"150085 Anapu";6
"150090 Augusto Corrêa";15
"150095 Aurora do Pará";1
"150120 Baião";10
"150130 Barcarena";28
"150140 Belém";622
"150145 Belterra";2
"150150 Benevides";14
"150157 Bom Jesus do Tocantins";2
"150170 Bragança";37
"150178 Breu Branco";12
