"Município (Res)";"Freqüência"
"110001 Alta Floresta D'Oeste";1
"110002 Ariquemes";7
"110045 Buritis";4
"110004 Cacoal";8
"110080 Candeias do Jamari";2
"110090 Castanheiras";1
"110005 Cerejeiras";1
"110006 Colorado do Oeste";1
"110094 Cujubim";3
"110100 Governador Jorge Teixeira";1
"110010 Guajará-Mirim";3
"110110 Itapuã do Oeste";1
"110011 Jaru";3
"110012 Ji-Paraná";14
"110013 Machadinho D'Oeste";1
"110140 Monte Negro";1
"110014 Nova Brasilândia D'Oeste";2
"110033 Nova Mamoré";1
"110015 Ouro Preto do Oeste";6
"110018 Pimenta Bueno";4
"110020 Porto Velho";113
"110025 Presidente Médici";1
"110028 Rolim de Moura";4
"110029 Santa Luzia D'Oeste";1
"110150 Seringueiras";1
"110160 Theobroma";1
"110030 Vilhena";18
"120040 Rio Branco";33
"120045 Senador Guiomard";1
"130014 Apuí";1
"130050 Barreirinha";1
"130110 Careiro";1
"130120 Coari";1
"130170 Humaitá";1
"130185 Iranduba";1
"130190 Itacoatiara";1
"130210 Japurá";1
"130250 Manacapuru";3
"130260 Manaus";375
"130270 Manicoré";1
"130280 Maraã";1
"130340 Parintins";16
"130353 Presidente Figueiredo";4
"130356 Rio Preto da Eva";1
"130370 Santo Antônio do Içá";1
"130406 Tabatinga";4
"130420 Tefé";2
"130430 Urucará";1
"140010 Boa Vista";87
"140015 Bonfim";3
"140020 Caracaraí";2
"140028 Iracema";1
"140050 São João da Baliza";1
"150010 Abaetetuba";10
"150020 Acará";1
"150050 Almeirim";1
"150060 Altamira";3
"150080 Ananindeua";79
"150090 Augusto Corrêa";1
"150130 Barcarena";6
"150140 Belém";400
"150145 Belterra";1
"150150 Benevides";3
"150170 Bragança";5
"150175 Brejo Grande do Araguaia";1
"150190 Bujaru";2
"150215 Canaã dos Carajás";1
"150220 Capanema";5
"150230 Capitão Poço";1
"150240 Castanhal";11
"150270 Conceição do Araguaia";2
"150276 Cumaru do Norte";1
"150277 Curionópolis";4
"150290 Curuçá";3
"150293 Dom Eliseu";4
"150295 Eldorado dos Carajás";4
"150300 Faro";1
"150304 Floresta do Araguaia";2
"150330 Igarapé-Miri";2
"150360 Itaituba";4
"150380 Jacundá";3
"150405 Mãe do Rio";3
"150420 Marabá";26
"150442 Marituba";15
"150470 Moju";1
"150480 Monte Alegre";1
"150497 Nova Ipixuna";1
"150500 Nova Timboteua";1
"150503 Novo Progresso";1
"150530 Oriximiná";3
"150543 Ourilândia do Norte";1
"150548 Pacajá";1
"150550 Paragominas";5
"150553 Parauapebas";22
"150570 Ponta de Pedras";1
"150580 Portel";1
"150600 Prainha";1
"150611 Quatipuru";1
"150613 Redenção";13
"150616 Rio Maria";1
"150618 Rondon do Pará";1
"150630 Salvaterra";1
"150635 Santa Bárbara do Pará";1
"150650 Santa Isabel do Pará";2
"150658 Santa Maria das Barreiras";1
"150660 Santa Maria do Pará";3
"150670 Santana do Araguaia";2
"150680 Santarém";12
"150700 Santo Antônio do Tauá";2
"150730 São Félix do Xingu";1
"150740 São Francisco do Pará";1
"150745 São Geraldo do Araguaia";1
"150747 São João de Pirabas";1
"150760 São Miguel do Guamá";2
"150770 São Sebastião da Boa Vista";1
"150790 Soure";1
"150795 Tailândia";2
"150800 Tomé-Açu";2
"150808 Tucumã";2
"150810 Tucuruí";6
"150820 Vigia";1
"150830 Viseu";1
"150840 Xinguara";2
"160023 Ferreira Gomes";1
"160027 Laranjal do Jari";1
"160030 Macapá";38
"160050 Oiapoque";1
"160060 Santana";8
"170210 Araguaína";16
"170220 Araguatins";1
"170290 Axixá do Tocantins";2
"170330 Bom Jesus do Tocantins";1
"170388 Carmolândia";1
"170550 Colinas do Tocantins";1
"170610 Cristalândia";2
"170740 Esperantina";1
"170770 Filadélfia";1
"170820 Formoso do Araguaia";2
"170930 Guaraí";2
"171190 Lagoa da Confusão";4
"171245 Luzinópolis";1
"171430 Nazaré";1
"171488 Nova Olinda";1
"171510 Novo Acordo";1
"172100 Palmas";29
"171610 Paraíso do Tocantins";4
"171660 Peixe";1
"171820 Porto Nacional";4
"171840 Presidente Kennedy";2
"171880 Sampaio";1
"171900 Santa Tereza do Tocantins";1
"172080 Sítio Novo do Tocantins";1
"172110 Tocantínia";1
"172208 Wanderlândia";3
"172210 Xambioá";1
"210005 Açailândia";8
"210043 Alto Alegre do Maranhão";1
"210050 Alto Parnaíba";1
"210080 Anapurus";1
"210120 Bacabal";8
"210125 Bacabeira";1
"210140 Balsas";5
"210160 Barra do Corda";4
"210180 Benedito Leite";3
"210190 Bequimão";1
"210197 Boa Vista do Gurupi";1
"210200 Bom Jardim";1
"210203 Bom Jesus das Selvas";1
"210210 Brejo";2
"210232 Buriticupu";3
"210280 Carolina";5
"210300 Caxias";27
"210325 Cidelândia";4
"210330 Codó";8
"210340 Coelho Neto";8
"210350 Colinas";2
"210360 Coroatá";4
"210370 Cururupu";2
"210375 Davinópolis";3
"210380 Dom Pedro";1
"210400 Esperantinópolis";2
"210405 Estreito";2
"210450 Governador Archer";1
"210470 Graça Aranha";1
"210510 Icatu";1
"210530 Imperatriz";66
"210540 Itapecuru Mirim";3
"210542 Itinga do Maranhão";3
"210550 João Lisboa";1
"210570 Lago da Pedra";2
"210600 Lima Campos";2
"210630 Magalhães de Almeida";1
"210660 Matões";1
"210675 Miranda do Norte";4
"210700 Montes Altos";1
"210710 Morros";1
"210750 Paço do Lumiar";10
"210760 Palmeirândia";1
"210770 Paraibano";1
"210780 Parnarama";2
"210790 Passagem Franca";1
"210820 Pedreiras";7
"210850 Pindaré-Mirim";1
"210860 Pinheiro";2
"210880 Pirapemas";2
"210900 Porto Franco";2
"210910 Presidente Dutra";1
"210945 Raposa";2
"210950 Riachão";2
"210990 Santa Inês";3
"211000 Santa Luzia";3
"211020 Santa Rita";1
"211050 São Bento";2
"211060 São Bernardo";1
"211120 São José de Ribamar";11
"211130 São Luís";190
"211140 São Luís Gonzaga do Maranhão";1
"211150 São Mateus do Maranhão";4
"211153 São Pedro da Água Branca";1
"211160 São Raimundo das Mangabeiras";1
"211176 Senador La Rocque";2
"211200 Tasso Fragoso";1
"211210 Timbiras";1
"211220 Timon";25
"211240 Turiaçu";3
"211245 Turilândia";1
"211250 Tutóia";1
"211280 Viana";1
"211290 Vitória do Mearim";1
"211300 Vitorino Freire";1
"211400 Zé Doca";1
"220025 Alagoinha do Piauí";1
"220040 Altos";3
"220060 Angical do Piauí";2
"220100 Arraial";1
"220110 Avelino Lopes";1
"220120 Barras";1
"220160 Beneditinos";1
"220170 Bertolínia";4
"220177 Boa Hora";1
"220194 Boqueirão do Piauí";1
"220200 Buriti dos Lopes";1
"220205 Cabeceiras do Piauí";1
"220208 Cajueiro da Praia";1
"220220 Campo Maior";3
"220240 Capitão de Campos";1
"220271 Cocal de Telha";1
"220310 Cristino Castro";3
"220330 Demerval Lobão";1
"220370 Esperantina";3
"220390 Floriano";7
"220430 Fronteiras";1
"220470 Inhuma";4
"220520 Jaicós";1
