"Município (Res)";"Freqüência"
"110002 Ariquemes";3
"110004 Cacoal";6
"110070 Campo Novo de Rondônia";1
"110080 Candeias do Jamari";4
"110005 Cerejeiras";1
"110008 Costa Marques";2
"110010 Guajará-Mirim";2
"110012 Ji-Paraná";9
"110014 Nova Brasilândia D'Oeste";2
"110018 Pimenta Bueno";5
"110020 Porto Velho";97
"110025 Presidente Médici";1
"110030 Vilhena";8
"120010 Brasiléia";1
"120017 Capixaba";1
"120038 Plácido de Castro";1
"120040 Rio Branco";19
"120045 Senador Guiomard";1
"130014 Apuí";1
"130030 Autazes";1
"130070 Boca do Acre";1
"130100 Carauari";1
"130110 Careiro";2
"130115 Careiro da Várzea";1
"130120 Coari";2
"130170 Humaitá";2
"130185 Iranduba";2
"130190 Itacoatiara";6
"130250 Manacapuru";3
"130260 Manaus";265
"130270 Manicoré";3
"130340 Parintins";4
"130353 Presidente Figueiredo";3
"130406 Tabatinga";2
"130420 Tefé";2
"130430 Urucará";1
"140010 Boa Vista";42
"140015 Bonfim";4
"140020 Caracaraí";1
"140030 Mucajaí";2
"140045 Pacaraima";1
"140050 São João da Baliza";1
"140000 Município ignorado - RR";1
"150010 Abaetetuba";6
"150080 Ananindeua";31
"150120 Baião";1
"150130 Barcarena";2
"150140 Belém";176
"150170 Bragança";1
"150180 Breves";2
"150210 Cametá";1
"150240 Castanhal";4
"150270 Conceição do Araguaia";1
"150276 Cumaru do Norte";1
"150277 Curionópolis";1
"150345 Ipixuna do Pará";1
"150350 Irituia";1
"150360 Itaituba";1
"150370 Itupiranga";1
"150380 Jacundá";4
"150420 Marabá";9
"150442 Marituba";9
"150510 Óbidos";1
"150520 Oeiras do Pará";1
"150530 Oriximiná";4
"150550 Paragominas";1
"150553 Parauapebas";8
"150613 Redenção";9
"150618 Rondon do Pará";2
"150630 Salvaterra";1
"150635 Santa Bárbara do Pará";1
"150670 Santana do Araguaia";1
"150680 Santarém";6
"150690 Santarém Novo";1
"150700 Santo Antônio do Tauá";1
"150715 São Domingos do Araguaia";1
"150720 São Domingos do Capim";1
"150760 São Miguel do Guamá";2
"150790 Soure";1
"150808 Tucumã";1
"150810 Tucuruí";1
"150830 Viseu";1
"160027 Laranjal do Jari";3
"160030 Macapá";24
"160050 Oiapoque";4
"160015 Pedra Branca do Amapari";1
"160060 Santana";2
"170100 Ananás";1
"170210 Araguaína";5
"170220 Araguatins";2
"170290 Axixá do Tocantins";1
"170610 Cristalândia";2
"170825 Fortaleza do Tabocão";1
"170900 Goiatins";1
"170950 Gurupi";7
"171320 Miracema do Tocantins";1
"171330 Miranorte";1
"171420 Natividade";1
"171430 Nazaré";1
"172100 Palmas";21
"171820 Porto Nacional";5
"171840 Presidente Kennedy";1
"171886 Santa Fé do Araguaia";1
"172030 São Sebastião do Tocantins";1
"172080 Sítio Novo do Tocantins";2
"172120 Tocantinópolis";1
"172208 Wanderlândia";1
"172210 Xambioá";1
"210005 Açailândia";6
"210043 Alto Alegre do Maranhão";2
"210100 Arari";1
"210120 Bacabal";10
"210160 Barra do Corda";2
"210200 Bom Jardim";2
"210230 Buriti Bravo";1
"210232 Buriticupu";1
"210237 Cachoeira Grande";1
"210255 Campestre do Maranhão";4
"210280 Carolina";1
"210300 Caxias";17
"210320 Chapadinha";1
"210325 Cidelândia";1
"210330 Codó";9
"210340 Coelho Neto";6
"210360 Coroatá";1
"210375 Davinópolis";3
"210480 Grajaú";1
"210510 Icatu";1
"210530 Imperatriz";36
"210542 Itinga do Maranhão";2
"210550 João Lisboa";1
"210660 Matões";1
"210710 Morros";4
"210750 Paço do Lumiar";6
"210780 Parnarama";1
"210820 Pedreiras";6
"210830 Penalva";1
"210840 Peri Mirim";1
"210860 Pinheiro";2
"210890 Poção de Pedras";1
"210910 Presidente Dutra";1
"210945 Raposa";3
"210960 Rosário";2
"210990 Santa Inês";3
"211000 Santa Luzia";1
"211003 Santa Luzia do Paruá";1
"211060 São Bernardo";1
"211100 São João Batista";1
"211120 São José de Ribamar";7
"211130 São Luís";143
"211140 São Luís Gonzaga do Maranhão";1
"211150 São Mateus do Maranhão";3
"211167 São Roberto";2
"211220 Timon";19
"211223 Trizidela do Vale";2
"211230 Tuntum";1
"211280 Viana";1
"211290 Vitória do Mearim";3
"211400 Zé Doca";1
"210000 Município ignorado - MA";1
"220040 Altos";2
"220045 Alvorada do Gurguéia";1
"220050 Amarante";2
"220140 Barro Duro";1
"220150 Batalha";1
"220213 Campo Grande do Piauí";1
"220220 Campo Maior";5
"220230 Canto do Buriti";1
"220350 Elesbão Veloso";2
"220370 Esperantina";1
"220380 Flores do Piauí";1
"220390 Floriano";4
"220400 Francinópolis";1
"220450 Guadalupe";1
"220600 Marcos Parente";1
"220700 Oeiras";6
"220770 Parnaíba";8
"220780 Paulistana";1
"220790 Pedro II";2
"220800 Picos";1
"220830 Piracuruca";1
"220840 Piripiri";1
"220930 Santa Luz";1
"221010 São José do Peixe";1
"221040 São Miguel do Tapuio";1
"221050 São Pedro do Piauí";1
"221060 São Raimundo Nonato";5
"221070 Simões";2
"221080 Simplício Mendes";1
"221100 Teresina";109
"221110 União";2
"221120 Uruçuí";1
"230015 Acarape";1
"230020 Acaraú";1
"230050 Alcântaras";1
"230075 Amontada";1
"230100 Aquiraz";3
"230110 Aracati";7
"230125 Ararendá";1
"230190 Barbalha";3
"230220 Beberibe";3
"230240 Boa Viagem";1
"230250 Brejo Santo";2
"230280 Canindé";6
"230320 Caririaçu";1
"230340 Carnaubal";3
"230350 Cascavel";1
"230370 Caucaia";39
"230390 Chaval";1
"230395 Chorozinho";2
"230410 Crateús";3
"230420 Crato";2
"230428 Eusébio";1
"230440 Fortaleza";343
"230445 Fortim";1
"230490 Groaíras";1
"230500 Guaraciaba do Norte";1
"230520 Hidrolândia";4
"230523 Horizonte";2
"230530 Ibiapina";2
"230540 Icó";6
"230550 Iguatu";2
"230580 Ipu";1
"230590 Ipueiras";1
"230620 Itaiçaba";1
"230625 Itaitinga";2
"230640 Itapipoca";1
"230655 Itarema";1
"230690 Jaguaribe";2
"230730 Juazeiro do Norte";7
"230760 Limoeiro do Norte";1
"230765 Maracanaú";17
"230770 Maranguape";4
"230780 Marco";1
"230810 Mauriti";1
"230840 Missão Velha";2
"230850 Mombaça";2
"230870 Morada Nova";2
"230920 Nova Olinda";1
"230930 Nova Russas";1
"230945 Ocara";1
"230950 Orós";1
"230960 Pacajus";3
"230970 Pacatuba";4
"231020 Paracuru";1
"231025 Paraipaba";2
"231050 Pedra Branca";1
"231070 Pentecoste";2
"231090 Piquet Carneiro";1
"231130 Quixadá";5
"231160 Redenção";1
"231170 Reriutaba";1
"231180 Russas";3
"231220 Santa Quitéria";1
"231200 Santana do Acaraú";2
"231230 São Benedito";2
"231250 São João do Jaguaribe";1
"231260 São Luís do Curu";1
"231290 Sobral";13
"231300 Solonópole";1
"231310 Tabuleiro do Norte";2
"231320 Tamboril";2
"231330 Tauá";3
"231395 Varjota";1
"240010 Acari";3
"240070 Alto do Rodrigues";3
"240080 Angicos";1
"240110 Areia Branca";2
"240140 Baía Formosa";1
"240185 Caiçara do Norte";1
"240220 Canguaretama";1
"240230 Caraúbas";1
"240260 Ceará-Mirim";2
"240310 Currais Novos";1
"240420 Goianinha";1
"240540 Japi";1
"240580 João Câmara";2
"240630 Lagoa de Pedras";1
"240690 Lucrécia";1
"240700 Luís Gomes";1
"240710 Macaíba";3
"240720 Macau";2
"240800 Mossoró";13
"240810 Natal";87
"240820 Nísia Floresta";2
"240830 Nova Cruz";3
"240890 Parelhas";2
"240325 Parnamirim";13
"240910 Passa e Fica";2
"240930 Patu";1
"241020 Portalegre";1
"240895 Rio do Fogo";3
"241120 Santa Cruz";1
"240933 Santa Maria";3
"241150 Santo Antônio";1
"241200 São Gonçalo do Amarante";6
"241220 São José de Mipibu";3
"241260 São Paulo do Potengi";1
"241280 São Rafael";1
"241340 Serra Negra do Norte";1
"241350 Serrinha";2
"250020 Aguiar";2
"250030 Alagoa Grande";5
"250040 Alagoa Nova";3
"250050 Alagoinha";1
"250053 Alcantil";1
"250060 Alhandra";1
"250110 Areia";2
"250130 Aroeiras";1
"250150 Bananeiras";1
"250180 Bayeux";17
"250200 Belém do Brejo do Cruz";1
"250280 Brejo do Cruz";1
"250310 Cabaceiras";1
"250320 Cabedelo";6
"250400 Campina Grande";32
"250460 Conde";4
"250510 Cuité";1
"250527 Curral de Cima";1
"250570 Dona Inês";1
"250580 Duas Estradas";1
"250610 Fagundes";3
"250630 Guarabira";5
"250680 Ingá";1
"250690 Itabaiana";2
"250710 Itapororoca";1
"250750 João Pessoa";76
"250780 Junco do Seridó";1
"250830 Lagoa Seca";1
"250890 Mamanguape";3
"250910 Mari";2
"250920 Massaranduba";1
"250939 Maturéia";3
"250970 Monteiro";1
"251010 Nova Floresta";2
"251080 Patos";11
"251120 Pedras de Fogo";3
"251272 Pedro Régis";1
"251130 Piancó";1
"251140 Picuí";1
"251240 Puxinanã";1
"251250 Queimadas";2
"251274 Riachão";1
"251290 Rio Tinto";6
"251370 Santa Rita";15
"251390 São Bento";1
"251450 São José de Piranhas";1
"251530 Sapé";4
"251580 Serra Redonda";3
"251620 Sousa";4
"251630 Sumé";1
"251700 Umbuzeiro";1
"260005 Abreu e Lima";7
"260020 Afrânio";2
"260030 Agrestina";2
"260040 Água Preta";1
"260070 Aliança";1
"260120 Arcoverde";1
"260140 Barreiros";1
"260150 Belém de Maria";1
"260170 Belo Jardim";4
"260190 Bezerros";4
"260220 Bom Jardim";3
"260290 Cabo de Santo Agostinho";23
"260300 Cabrobó";2
"260310 Cachoeirinha";1
"260345 Camaragibe";12
"260360 Camutanga";1
"260400 Carpina";3
"260410 Caruaru";26
"260420 Catende";2
"260450 Chã Grande";1
"260480 Cortês";1
"260520 Escada";4
"260540 Feira Nova";1
"260570 Floresta";1
"260600 Garanhuns";5
"260620 Goiana";5
"260640 Gravatá";3
"260680 Igarassu";10
"260760 Ilha de Itamaracá";1
"260720 Ipojuca";2
"260790 Jaboatão dos Guararapes";107
"260810 João Alfredo";2
"260820 Joaquim Nabuco";1
"260845 Lagoa do Carro";1
"260850 Lagoa do Itaenga";2
