"Município (Res)";"Freqüência"
"110001 Alta Floresta D'Oeste";1
"110002 Ariquemes";13
"110004 Cacoal";15
"110080 Candeias do Jamari";8
"110090 Castanheiras";1
"110005 Cerejeiras";1
"110008 Costa Marques";2
"110094 Cujubim";1
"110009 Espigão D'Oeste";2
"110100 Governador Jorge Teixeira";1
"110010 Guajará-Mirim";5
"110011 Jaru";3
"110012 Ji-Paraná";23
"110120 Ministro Andreazza";1
"110130 Mirante da Serra";2
"110014 Nova Brasilândia D'Oeste";3
"110033 Nova Mamoré";3
"110015 Ouro Preto do Oeste";9
"110018 Pimenta Bueno";2
"110020 Porto Velho";159
"110025 Presidente Médici";3
"110028 Rolim de Moura";6
"110148 São Felipe D'Oeste";1
"110032 São Miguel do Guaporé";1
"110175 Vale do Anari";1
"110030 Vilhena";27
"110000 Município ignorado - RO";1
"120001 Acrelândia";2
"120020 Cruzeiro do Sul";2
"120040 Rio Branco";30
"120060 Tarauacá";1
"130040 Barcelos";2
"130060 Benjamin Constant";5
"130100 Carauari";1
"130110 Careiro";1
"130120 Coari";2
"130140 Eirunepé";3
"130160 Fonte Boa";1
"130170 Humaitá";3
"130190 Itacoatiara";12
"130195 Itamarati";1
"130200 Itapiranga";1
"130250 Manacapuru";7
"130260 Manaus";593
"130270 Manicoré";1
"130290 Maués";2
"130310 Nova Olinda do Norte";1
"130320 Novo Airão";1
"130340 Parintins";22
"130353 Presidente Figueiredo";2
"130356 Rio Preto da Eva";2
"130370 Santo Antônio do Içá";2
"130406 Tabatinga";12
"130420 Tefé";13
"140005 Alto Alegre";1
"140002 Amajari";1
"140010 Boa Vista";70
"140015 Bonfim";1
"140020 Caracaraí";2
"140045 Pacaraima";1
"150010 Abaetetuba";10
"150013 Abel Figueiredo";1
"150020 Acará";1
"150030 Afuá";1
"150040 Alenquer";1
"150050 Almeirim";1
"150060 Altamira";8
"150080 Ananindeua";94
"150085 Anapu";2
"150090 Augusto Corrêa";1
"150120 Baião";2
"150130 Barcarena";8
"150140 Belém";437
"150150 Benevides";10
"150170 Bragança";9
"150178 Breu Branco";7
"150190 Bujaru";1
"150195 Cachoeira do Piriá";1
"150210 Cametá";4
"150215 Canaã dos Carajás";2
"150220 Capanema";7
"150230 Capitão Poço";2
"150240 Castanhal";27
"150260 Colares";2
"150270 Conceição do Araguaia";2
"150277 Curionópolis";4
"150290 Curuçá";4
"150293 Dom Eliseu";3
"150295 Eldorado dos Carajás";5
"150309 Goianésia do Pará";1
"150310 Gurupá";1
"150320 Igarapé-Açu";3
"150330 Igarapé-Miri";2
"150345 Ipixuna do Pará";2
"150350 Irituia";4
"150360 Itaituba";4
"150370 Itupiranga";3
"150380 Jacundá";1
"150405 Mãe do Rio";3
"150420 Marabá";26
"150440 Marapanim";1
"150442 Marituba";16
"150470 Moju";1
"150497 Nova Ipixuna";1
"150500 Nova Timboteua";2
"150503 Novo Progresso";4
"150506 Novo Repartimento";6
"150530 Oriximiná";5
"150543 Ourilândia do Norte";3
"150548 Pacajá";2
"150549 Palestina do Pará";1
"150550 Paragominas";18
"150553 Parauapebas";15
"150555 Pau D'Arco";1
"150560 Peixe-Boi";1
"150565 Placas";4
"150570 Ponta de Pedras";1
"150580 Portel";1
"150611 Quatipuru";1
"150613 Redenção";9
"150616 Rio Maria";3
"150618 Rondon do Pará";5
"150620 Salinópolis";2
"150630 Salvaterra";1
