"Município (Res)";"Freqüência"
"110001 Alta Floresta D'Oeste";1
"110003 Cabixi";2
"110004 Cacoal";4
"110070 Campo Novo de Rondônia";2
"110006 Colorado do Oeste";1
"110008 Costa Marques";1
"110011 Jaru";1
"110012 Ji-Paraná";2
"110014 Nova Brasilândia D'Oeste";1
"110018 Pimenta Bueno";1
"110020 Porto Velho";59
"110025 Presidente Médici";2
"110028 Rolim de Moura";1
"110030 Vilhena";9
"120010 Brasiléia";1
"120020 Cruzeiro do Sul";1
"120025 Epitaciolândia";1
"120034 Manoel Urbano";1
"120038 Plácido de Castro";1
"120040 Rio Branco";13
"130050 Barreirinha";2
"130120 Coari";2
"130185 Iranduba";3
"130250 Manacapuru";1
"130260 Manaus";205
"130340 Parintins";2
"130390 São Paulo de Olivença";1
"130406 Tabatinga";1
"140010 Boa Vista";18
"140028 Iracema";2
"150020 Acará";1
"150040 Alenquer";2
"150050 Almeirim";2
"150080 Ananindeua";37
"150140 Belém";180
"150150 Benevides";1
"150180 Breves";1
"150190 Bujaru";1
"150210 Cametá";1
"150220 Capanema";1
"150240 Castanhal";3
"150270 Conceição do Araguaia";3
"150277 Curionópolis";1
"150295 Eldorado dos Carajás";1
"150309 Goianésia do Pará";1
"150340 Inhangapi";1
"150380 Jacundá";1
"150410 Magalhães Barata";1
"150420 Marabá";5
"150442 Marituba";2
"150480 Monte Alegre";1
"150506 Novo Repartimento";1
"150553 Parauapebas";1
"150613 Redenção";11
"150616 Rio Maria";1
"150618 Rondon do Pará";1
"150635 Santa Bárbara do Pará";1
"150680 Santarém";12
"150710 São Caetano de Odivelas";1
"150745 São Geraldo do Araguaia";1
"150775 Sapucaia";1
"150790 Soure";2
"150795 Tailândia";1
"150800 Tomé-Açu";1
"150810 Tucuruí";2
"160030 Macapá";18
"160050 Oiapoque";2
"160060 Santana";2
"170190 Araguacema";1
"170210 Araguaína";8
"170215 Araguanã";1
"170220 Araguatins";1
"171670 Colméia";1
"170560 Conceição do Tocantins";1
"170765 Figueirópolis";1
"170770 Filadélfia";1
"170820 Formoso do Araguaia";3
"170900 Goiatins";1
"170930 Guaraí";1
"170950 Gurupi";3
"171320 Miracema do Tocantins";2
"171395 Muricilândia";1
"171510 Novo Acordo";1
"172100 Palmas";14
"171820 Porto Nacional";2
"171840 Presidente Kennedy";1
"172110 Tocantínia";1
"172120 Tocantinópolis";1
"172208 Wanderlândia";1
"210005 Açailândia";2
"210043 Alto Alegre do Maranhão";2
"210050 Alto Parnaíba";1
"210060 Amarante do Maranhão";1
"210100 Arari";1
"210120 Bacabal";1
"210140 Balsas";2
"210160 Barra do Corda";2
"210210 Brejo";1
"210232 Buriticupu";2
"210240 Cajapió";1
"210255 Campestre do Maranhão";1
"210280 Carolina";1
"210300 Caxias";11
"210330 Codó";7
"210340 Coelho Neto";1
"210360 Coroatá";2
"210375 Davinópolis";2
"210380 Dom Pedro";1
"210400 Esperantinópolis";1
"210520 Igarapé Grande";1
"210530 Imperatriz";56
"210540 Itapecuru Mirim";1
"210542 Itinga do Maranhão";1
"210570 Lago da Pedra";1
"210660 Matões";1
"210670 Mirador";1
"210750 Paço do Lumiar";6
"210780 Parnarama";3
"210810 Paulo Ramos";1
"210820 Pedreiras";7
"210860 Pinheiro";1
"210900 Porto Franco";1
"210910 Presidente Dutra";2
"210930 Presidente Vargas";1
"210945 Raposa";1
"210950 Riachão";1
"210960 Rosário";1
"210990 Santa Inês";1
"211000 Santa Luzia";2
"211020 Santa Rita";1
"211050 São Bento";2
"211070 São Domingos do Maranhão";1
"211110 São João dos Patos";2
"211120 São José de Ribamar";2
"211130 São Luís";117
"211150 São Mateus do Maranhão";2
"211220 Timon";12
"211223 Trizidela do Vale";1
"211230 Tuntum";1
"211245 Turilândia";1
"211290 Vitória do Mearim";2
"220030 Alto Longá";2
"220050 Amarante";1
"220110 Avelino Lopes";1
"220160 Beneditinos";1
"220220 Campo Maior";5
"220260 Castelo do Piauí";1
"220390 Floriano";2
"220400 Francinópolis";1
"220450 Guadalupe";2
"220470 Inhuma";1
"220510 Itaueira";1
"220520 Jaicós";1
"220570 Luís Correia";1
"220590 Manoel Emídio";1
"220700 Oeiras";2
"220770 Parnaíba";3
"220840 Piripiri";1
"220955 São Braz do Piauí";1
"221037 São Luis do Piauí";1
"221060 São Raimundo Nonato";2
"221080 Simplício Mendes";1
"221100 Teresina";64
"221110 União";1
"221130 Valença do Piauí";1
"230020 Acaraú";1
"230030 Acopiara";2
"230100 Aquiraz";2
"230110 Aracati";3
"230170 Aurora";2
"230195 Barreira";2
"230220 Beberibe";2
"230250 Brejo Santo";2
"230260 Camocim";1
"230280 Canindé";2
"230330 Cariús";1
"230340 Carnaubal";3
"230350 Cascavel";4
"230360 Catarina";1
"230370 Caucaia";26
"230410 Crateús";2
"230420 Crato";2
"230423 Croatá";3
"230425 Cruz";2
"230428 Eusébio";1
"230435 Forquilha";2
"230440 Fortaleza";389
"230465 Graça";3
"230470 Granja";1
"230500 Guaraciaba do Norte";3
"230520 Hidrolândia";2
"230526 Ibaretama";2
"230530 Ibiapina";1
"230540 Icó";1
"230550 Iguatu";5
"230565 Ipaporanga";1
"230570 Ipaumirim";1
"230580 Ipu";2
"230590 Ipueiras";5
"230610 Irauçuba";2
"230625 Itaitinga";3
"230640 Itapipoca";5
"230680 Jaguaribara";1
"230690 Jaguaribe";1
"230700 Jaguaruana";1
"230725 Jijoca de Jericoacoara";2
"230730 Juazeiro do Norte";13
"230760 Limoeiro do Norte";1
"230765 Maracanaú";20
"230770 Maranguape";1
"230780 Marco";2
"230800 Massapê";1
"230820 Meruoca";2
"230870 Morada Nova";2
"230900 Mucambo";3
"230930 Nova Russas";4
"230940 Novo Oriente";1
"230945 Ocara";1
"230960 Pacajus";2
"230970 Pacatuba";1
"230990 Pacujá";1
"231020 Paracuru";2
"231025 Paraipaba";2
"231030 Parambu";2
"231050 Pedra Branca";2
"231070 Pentecoste";2
"231090 Piquet Carneiro";1
"231126 Quiterianópolis";1
"231130 Quixadá";1
"231140 Quixeramobim";1
"231160 Redenção";2
"231170 Reriutaba";2
"231180 Russas";1
"231220 Santa Quitéria";1
"231230 São Benedito";5
"231240 São Gonçalo do Amarante";1
"231270 Senador Pompeu";1
"231290 Sobral";14
"231300 Solonópole";1
"231310 Tabuleiro do Norte";3
"231320 Tamboril";1
"231340 Tianguá";1
"231350 Trairi";1
"231395 Varjota";1
"231410 Viçosa do Ceará";1
"240010 Acari";2
"240020 Açu";1
"240090 Antônio Martins";2
"240120 Arês";1
"240140 Baía Formosa";1
"240200 Caicó";3
"240260 Ceará-Mirim";3
"240270 Cerro Corá";1
"240330 Encanto";1
"240360 Extremoz";3
"240490 Itaú";1
"240710 Macaíba";4
"240720 Macau";1
"240770 Montanhas";1
"240800 Mossoró";11
"240810 Natal";99
"240820 Nísia Floresta";1
"240880 Parazinho";1
"240890 Parelhas";2
"240325 Parnamirim";7
"240940 Pau dos Ferros";4
"240980 Pedro Velho";2
"241010 Poço Branco";1
"241030 Presidente Juscelino";1
"241050 Rafael Fernandes";1
"241120 Santa Cruz";2
"241140 Santana do Matos";1
"241190 São Francisco do Oeste";2
"241200 São Gonçalo do Amarante";4
"241220 São José de Mipibu";3
"241230 São José do Campestre";1
"241320 Senador Georgino Avelino";1
"241370 Sítio Novo";1
"241400 Tangará";1
"241420 Tibau do Sul";1
"250030 Alagoa Grande";3
"250040 Alagoa Nova";3
"250050 Alagoinha";1
"250080 Araçagi";1
"250090 Arara";2
"250100 Araruna";1
"250130 Aroeiras";1
"250150 Bananeiras";3
"250153 Baraúna";1
"250160 Barra de Santa Rosa";1
"250180 Bayeux";7
"250320 Cabedelo";9
"250360 Caiçara";1
"250370 Cajazeiras";2
"250400 Campina Grande";36
"250450 Condado";1
"250460 Conde";1
"250485 Coxixola";1
"250523 Cuité de Mamanguape";1
"250570 Dona Inês";1
"250690 Itabaiana";1
"250750 João Pessoa";67
"250790 Juripiranga";2
"250830 Lagoa Seca";3
"250890 Mamanguape";1
"250910 Mari";1
"250920 Massaranduba";1
"250980 Mulungu";1
"251080 Patos";1
"251120 Pedras de Fogo";1
