"Município (Res)";"Freqüência"
"110002 Ariquemes";1
"110004 Cacoal";2
"110009 Espigão D'Oeste";1
"110011 Jaru";1
"110012 Ji-Paraná";1
"110020 Porto Velho";32
"110025 Presidente Médici";3
"110030 Vilhena";2
"120020 Cruzeiro do Sul";1
"120040 Rio Branco";7
"130170 Humaitá";1
"130190 Itacoatiara";1
"130255 Manaquiri";1
"130260 Manaus";78
"130340 Parintins";1
"130406 Tabatinga";1
"130420 Tefé";1
"140010 Boa Vista";7
"150060 Altamira";3
"150080 Ananindeua";23
"150140 Belém";107
"150220 Capanema";1
"150240 Castanhal";1
"150275 Concórdia do Pará";1
"150293 Dom Eliseu";1
"150420 Marabá";1
"150550 Paragominas";1
"150610 Primavera";1
"150613 Redenção";2
"150618 Rondon do Pará";1
"150680 Santarém";1
"150760 São Miguel do Guamá";1
"150840 Xinguara";1
"160030 Macapá";6
"170100 Ananás";2
"170210 Araguaína";2
"170220 Araguatins";1
"170255 Augustinópolis";1
"170290 Axixá do Tocantins";1
"170950 Gurupi";3
"171320 Miracema do Tocantins";1
"171330 Miranorte";1
"171488 Nova Olinda";1
"172100 Palmas";1
"171575 Palmeirópolis";1
"172020 São Miguel do Tocantins";2
"172210 Xambioá";1
"210110 Axixá";1
"210120 Bacabal";3
"210177 Bela Vista do Maranhão";1
"210300 Caxias";4
"210320 Chapadinha";1
"210340 Coelho Neto";3
"210530 Imperatriz";24
"210550 João Lisboa";1
"210750 Paço do Lumiar";2
"210820 Pedreiras";4
"210900 Porto Franco";1
"210990 Santa Inês";3
"211120 São José de Ribamar";1
"211130 São Luís";70
"211220 Timon";3
"211270 Vargem Grande";1
"220030 Alto Longá";1
"220040 Altos";1
"220100 Arraial";1
"220120 Barras";1
"220220 Campo Maior";1
"220450 Guadalupe";1
"220470 Inhuma";1
"220480 Ipiranga do Piauí";1
"220770 Parnaíba";13
"220790 Pedro II";4
"220800 Picos";1
"220840 Piripiri";2
"221100 Teresina";38
"221130 Valença do Piauí";1
"230030 Acopiara";2
"230050 Alcântaras";1
"230110 Aracati";1
"230350 Cascavel";1
"230370 Caucaia";4
"230410 Crateús";1
"230423 Croatá";1
"230440 Fortaleza";182
"230465 Graça";1
"230500 Guaraciaba do Norte";1
"230520 Hidrolândia";1
"230580 Ipu";4
"230765 Maracanaú";4
"230770 Maranguape";1
"230900 Mucambo";1
"230950 Orós";1
"231180 Russas";1
"231290 Sobral";5
"240010 Acari";1
"240020 Açu";1
"240080 Angicos";1
"240110 Areia Branca";1
"240140 Baía Formosa";1
"240180 Brejinho";1
"240260 Ceará-Mirim";1
"240300 Cruzeta";1
"240310 Currais Novos";1
"240480 Ipueira";1
"240540 Japi";1
"240670 Lajes";1
"240710 Macaíba";1
"240750 Maxaranguape";1
"240770 Montanhas";2
"240800 Mossoró";6
"240810 Natal";52
"240820 Nísia Floresta";1
"240940 Pau dos Ferros";2
"240980 Pedro Velho";1
"241120 Santa Cruz";2
"241150 Santo Antônio";1
"241200 São Gonçalo do Amarante";2
"241240 São José do Seridó";1
"241280 São Rafael";1
"241390 Taipu";1
"241440 Touros";1
"250030 Alagoa Grande";3
"250050 Alagoinha";2
"250060 Alhandra";1
"250080 Araçagi";1
"250090 Arara";1
"250100 Araruna";1
"250110 Areia";1
"250180 Bayeux";9
"250220 Bom Jesus";1
"250250 Boqueirão";1
"250310 Cabaceiras";1
"250320 Cabedelo";5
"250370 Cajazeiras";1
"250390 Camalaú";1
"250400 Campina Grande";24
"250600 Esperança";2
"250630 Guarabira";2
"250260 Igaracy";1
"250680 Ingá";1
"250690 Itabaiana";4
"250750 João Pessoa";27
"250880 Malta";1
"250970 Monteiro";1
"251080 Patos";2
"251200 Pocinhos";1
"251250 Queimadas";3
"251274 Riachão";1
"251340 Santa Luzia";1
"251370 Santa Rita";2
"251490 São Mamede";1
"251530 Sapé";2
"251560 Serra da Raiz";1
"251580 Serra Redonda";1
"251630 Sumé";2
"251670 Teixeira";1
"251680 Triunfo";1
"250000 Município ignorado - PB";1
"260005 Abreu e Lima";5
"260030 Agrestina";1
"260080 Altinho";1
"260120 Arcoverde";1
"260220 Bom Jardim";1
"260230 Bonito";1
"260260 Brejo da Madre de Deus";1
"260280 Buíque";2
"260290 Cabo de Santo Agostinho";12
"260345 Camaragibe";8
"260390 Carnaíba";1
"260400 Carpina";1
"260410 Caruaru";7
"260450 Chã Grande";1
"260500 Cupira";1
"260520 Escada";1
"260560 Flores";1
"260620 Goiana";1
"260640 Gravatá";1
"260660 Ibimirim";1
"260680 Igarassu";3
"260760 Ilha de Itamaracá";2
"260790 Jaboatão dos Guararapes";30
"260850 Lagoa do Itaenga";1
"260880 Lajedo";1
"260940 Moreno";1
"260950 Nazaré da Mata";1
"260960 Olinda";31
"261000 Palmares";1
"261060 Paudalho";1
"261070 Paulista";19
"261110 Petrolina";4
"261160 Recife";189
"261240 Sanharó";1
"261245 Santa Cruz";1
"261250 Santa Cruz do Capibaribe";2
"261300 São Bento do Una";1
"261330 São Joaquim do Monte";1
"261370 São Lourenço da Mata";2
"261450 Surubim";1
"261540 Toritama";1
"261600 Venturosa";1
"261640 Vitória de Santo Antão";4
"270030 Arapiraca";2
"270050 Barra de Santo Antônio";1
"270150 Campo Grande";1
"270230 Coruripe";2
"270235 Craíbas";1
"270430 Maceió";56
"270440 Major Isidoro";1
"270670 Penedo";1
"270770 Rio Largo";1
"270860 São Miguel dos Campos";1
"270880 São Sebastião";1
"270910 Taquarana";1
"270930 União dos Palmares";1
"280020 Aquidabã";1
"280030 Aracaju";38
"280060 Barra dos Coqueiros";1
"280067 Boquim";1
"280100 Campo do Brito";3
"280140 Carira";1
"280210 Estância";4
"280290 Itabaiana";6
"280300 Itabaianinha";1
"280330 Japaratuba";1
"280350 Lagarto";2
"280390 Malhador";1
"280440 Neópolis";1
"280480 Nossa Senhora do Socorro";5
"280510 Pedrinhas";1
"280520 Pinhão";1
"280560 Porto da Folha";1
"280620 Salgado";1
"280670 São Cristóvão";4
"280690 São Francisco";1
"280710 Simão Dias";3
"280720 Siriri";1
"290010 Abaíra";1
"290030 Acajutiba";1
"290070 Alagoinhas";3
"290230 Aratuípe";1
"290300 Barra do Mendes";1
"290470 Buerarema";1
"290570 Camaçari";1
"290650 Candeias";2
"290670 Cândido Sales";1
"290685 Capela do Alto Alegre";1
"290810 Cocos";1
"290820 Conceição da Feira";1
"290980 Cruz das Almas";1
"291005 Dias d'Ávila";1
"291072 Eunápolis";1
"291080 Feira de Santana";16
"291170 Guanambi";1
"291360 Ilhéus";7
"291390 Ipiaú";1
"291400 Ipirá";2
"291460 Irecê";1
"291480 Itabuna";3
"291510 Itagi";2
"291560 Itamaraju";3
"291680 Itarantim";1
"291685 Itatim";1
"291770 Jaguarari";1
"291790 Jandaíra";1
"291800 Jequié";6
"291840 Juazeiro";6
"291920 Lauro de Freitas";3
"291992 Madre de Deus";1
"292010 Mairi";1
"292060 Maragogipe";1
"292070 Maraú";1
"292400 Paulo Afonso";1
"292470 Piripá";2
"292480 Piritiba";1
"292530 Porto Seguro";2
"292630 Riachão do Jacuípe";1
"292660 Ribeira do Pombal";1
"292690 Rio do Pires";1
"292740 Salvador";184
"292800 Santaluz";1
"292870 Santo Antônio de Jesus";1
"292880 Santo Estêvão";3
"292910 São Felipe";1
"292950 São Sebastião do Passé";1
"293010 Senhor do Bonfim";2
"293135 Teixeira de Freitas";3
"293200 Uauá";1
"293220 Ubaitaba";2
"293290 Valença";3
"293320 Vera Cruz";1
"293330 Vitória da Conquista";10
"310150 Além Paraíba";1
"310160 Alfenas";5
"310190 Alpinópolis";2
"310250 Amparo do Serra";3
"310260 Andradas";2
"310350 Araguari";12
"310400 Araxá";6
"310420 Arcos";1
"310430 Areado";1
"310490 Baependi";1
"310510 Bambuí";1
"310560 Barbacena";2
"310590 Barroso";1
"310600 Bela Vista de Minas";2
"310620 Belo Horizonte";435
"310670 Betim";29
"310690 Bicas";6
"310710 Boa Esperança";2
"310730 Bocaiúva";2
"310880 Braúnas";1
"310970 Cachoeira de Minas";1
"311000 Caeté";1
"311030 Caldas";4
"311060 Cambuí";1
"311070 Cambuquira";1
"311080 Campanário";1
"311090 Campanha";1
"311110 Campina Verde";1
"311130 Campo do Meio";1
"311140 Campo Florido";1
"311180 Canápolis";2
"311260 Capinópolis";4
"311320 Carandaí";1
"311330 Carangola";1
"311340 Caratinga";4
"311430 Carmo do Paranaíba";1
"311500 Cascalho Rico";1
"311530 Cataguases";6
"311590 Chácara";1
"311610 Chapada do Norte";1
"311620 Chiador";2
"311680 Coluna";1
"311730 Conceição das Alagoas";2
"311790 Congonhal";1
"311830 Conselheiro Lafaiete";2
