"Município (Res)";"Freqüência"
"110002 Ariquemes";4
"110004 Cacoal";2
"110080 Candeias do Jamari";2
"110007 Corumbiara";1
"110008 Costa Marques";2
"110010 Guajará-Mirim";1
"110011 Jaru";3
"110012 Ji-Paraná";8
"110130 Mirante da Serra";1
"110015 Ouro Preto do Oeste";1
"110145 Parecis";1
"110018 Pimenta Bueno";1
"110020 Porto Velho";103
"110025 Presidente Médici";2
"110028 Rolim de Moura";6
"110149 São Francisco do Guaporé";1
"110170 Urupá";1
"110030 Vilhena";9
"120010 Brasiléia";1
"120013 Bujari";1
"120020 Cruzeiro do Sul";3
"120025 Epitaciolândia";2
"120040 Rio Branco";22
"120045 Senador Guiomard";2
"130014 Apuí";1
"130020 Atalaia do Norte";1
"130030 Autazes";1
"130060 Benjamin Constant";1
"130068 Boa Vista do Ramos";1
"130100 Carauari";1
"130120 Coari";1
"130185 Iranduba";3
"130190 Itacoatiara";3
"130200 Itapiranga";1
"130250 Manacapuru";3
"130260 Manaus";318
"130270 Manicoré";2
"130290 Maués";3
"130310 Nova Olinda do Norte";1
"130320 Novo Airão";1
"130330 Novo Aripuanã";1
"130340 Parintins";6
"130353 Presidente Figueiredo";1
"130356 Rio Preto da Eva";2
"130370 Santo Antônio do Içá";1
"130380 São Gabriel da Cachoeira";3
"130406 Tabatinga";8
"130420 Tefé";6
"140002 Amajari";3
"140010 Boa Vista";40
"140015 Bonfim";2
"140030 Mucajaí";1
"140047 Rorainópolis";2
"140060 São Luiz";1
"140000 Município ignorado - RR";4
"150010 Abaetetuba";3
"150040 Alenquer";1
"150050 Almeirim";1
"150060 Altamira";3
"150080 Ananindeua";42
"150100 Aveiro";1
"150110 Bagre";1
"150140 Belém";320
"150145 Belterra";1
"150150 Benevides";3
"150170 Bragança";3
"150180 Breves";1
"150210 Cametá";1
"150230 Capitão Poço";1
"150240 Castanhal";10
"150260 Colares";1
"150270 Conceição do Araguaia";1
"150290 Curuçá";1
"150295 Eldorado dos Carajás";6
"150304 Floresta do Araguaia";1
"150310 Gurupá";1
"150330 Igarapé-Miri";1
"150360 Itaituba";5
"150370 Itupiranga";2
"150420 Marabá";33
"150430 Maracanã";1
"150442 Marituba";6
"150445 Medicilândia";1
"150480 Monte Alegre";1
"150497 Nova Ipixuna";1
"150506 Novo Repartimento";1
"150530 Oriximiná";2
"150548 Pacajá";1
"150550 Paragominas";4
"150553 Parauapebas";13
"150563 Piçarra";1
"150613 Redenção";12
"150616 Rio Maria";1
"150618 Rondon do Pará";2
"150619 Rurópolis";1
"150650 Santa Isabel do Pará";1
"150670 Santana do Araguaia";2
"150680 Santarém";19
"150700 Santo Antônio do Tauá";1
"150715 São Domingos do Araguaia";2
"150730 São Félix do Xingu";2
"150745 São Geraldo do Araguaia";2
"150750 São João do Araguaia";3
"150790 Soure";1
"150795 Tailândia";1
"150800 Tomé-Açu";1
"150810 Tucuruí";7
"150820 Vigia";1
"150840 Xinguara";1
"160020 Calçoene";1
"160027 Laranjal do Jari";1
"160030 Macapá";42
"160050 Oiapoque";3
"160060 Santana";2
"170130 Aragominas";1
"170200 Araguaçu";1
"170210 Araguaína";7
"170220 Araguatins";2
"170550 Colinas do Tocantins";1
"171670 Colméia";1
"170610 Cristalândia";1
"170700 Dianópolis";1
"170820 Formoso do Araguaia";1
"170950 Gurupi";12
"171050 Itacajá";1
"171320 Miracema do Tocantins";1
"171330 Miranorte";1
"171395 Muricilândia";1
"171488 Nova Olinda";1
"171515 Novo Alegre";1
"172100 Palmas";14
"171610 Paraíso do Tocantins";3
"171820 Porto Nacional";3
"171830 Praia Norte";3
"172080 Sítio Novo do Tocantins";1
"172110 Tocantínia";1
"172208 Wanderlândia";3
"172210 Xambioá";1
"210005 Açailândia";6
"210043 Alto Alegre do Maranhão";2
"210090 Araioses";1
"210120 Bacabal";5
"210140 Balsas";2
"210160 Barra do Corda";1
"210203 Bom Jesus das Selvas";1
"210255 Campestre do Maranhão";1
"210280 Carolina";3
"210300 Caxias";23
"210320 Chapadinha";3
"210330 Codó";11
"210340 Coelho Neto";2
"210380 Dom Pedro";1
"210405 Estreito";2
"210462 Governador Luiz Rocha";1
"210480 Grajaú";1
"210500 Humberto de Campos";1
"210530 Imperatriz";52
"210540 Itapecuru Mirim";1
"210542 Itinga do Maranhão";1
"210550 João Lisboa";1
"210560 Joselândia";2
"210637 Maranhãozinho";1
"210675 Miranda do Norte";1
"210680 Mirinzal";1
"210710 Morros";5
"210750 Paço do Lumiar";4
"210820 Pedreiras";5
"210845 Peritoró";1
"210870 Pio XII";1
"210900 Porto Franco";1
"210960 Rosário";2
"210980 Santa Helena";1
"210990 Santa Inês";4
"211003 Santa Luzia do Paruá";1
"211050 São Bento";2
"211110 São João dos Patos";1
"211120 São José de Ribamar";13
"211130 São Luís";160
"211150 São Mateus do Maranhão";2
"211176 Senador La Rocque";1
"211180 Sítio Novo";1
"211220 Timon";14
"211290 Vitória do Mearim";2
"211300 Vitorino Freire";2
"210000 Município ignorado - MA";1
"220020 Água Branca";1
"220025 Alagoinha do Piauí";1
"220040 Altos";2
"220050 Amarante";1
"220100 Arraial";1
"220117 Barra D'Alcântara";1
"220120 Barras";1
"220196 Brasileira";1
"220210 Campinas do Piauí";1
"220220 Campo Maior";3
"220230 Canto do Buriti";2
"220290 Corrente";1
"220370 Esperantina";2
"220385 Floresta do Piauí";1
"220390 Floriano";4
"220400 Francinópolis";3
"220450 Guadalupe";1
"220460 Hugo Napoleão";2
"220520 Jaicós";2
"220640 Monsenhor Gil";1
"220690 Novo Oriente do Piauí";1
"220700 Oeiras";2
"220770 Parnaíba";8
"220777 Patos do Piauí";1
"220790 Pedro II";1
"220800 Picos";6
"220830 Piracuruca";2
"220840 Piripiri";1
"220940 Santo Antônio de Lisboa";3
"220960 São Félix do Piauí";1
"220985 São João da Canabrava";2
"220990 São João da Serra";1
"221040 São Miguel do Tapuio";1
"221060 São Raimundo Nonato";3
"221080 Simplício Mendes";1
"221097 Tanque do Piauí";2
"221100 Teresina";91
"221110 União";1
"221130 Valença do Piauí";2
"230020 Acaraú";2
"230070 Alto Santo";3
"230100 Aquiraz";6
"230110 Aracati";13
"230120 Aracoiaba";1
"230130 Araripe";1
"230160 Assaré";1
"230190 Barbalha";1
"230205 Barroquinha";1
"230220 Beberibe";2
"230270 Campos Sales";2
"230280 Canindé";5
"230310 Cariré";3
"230340 Carnaubal";4
"230350 Cascavel";2
"230370 Caucaia";23
"230380 Cedro";1
"230395 Chorozinho";1
"230400 Coreaú";1
"230410 Crateús";5
"230420 Crato";5
"230425 Cruz";3
"230435 Forquilha";1
"230440 Fortaleza";355
"230445 Fortim";2
"230465 Graça";5
"230490 Groaíras";1
"230500 Guaraciaba do Norte";3
"230520 Hidrolândia";2
"230530 Ibiapina";2
"230535 Icapuí";1
"230540 Icó";1
"230550 Iguatu";1
"230580 Ipu";5
"230590 Ipueiras";1
"230625 Itaitinga";3
"230630 Itapagé";1
"230640 Itapipoca";7
"230690 Jaguaribe";5
"230725 Jijoca de Jericoacoara";1
"230730 Juazeiro do Norte";6
"230760 Limoeiro do Norte";4
"230763 Madalena";1
"230765 Maracanaú";27
"230770 Maranguape";2
"230835 Milhã";1
"230850 Mombaça";1
"230860 Monsenhor Tabosa";2
"230870 Morada Nova";2
"230880 Moraújo";1
"230890 Morrinhos";1
"230900 Mucambo";2
"230930 Nova Russas";1
"230940 Novo Oriente";4
"230950 Orós";2
"230960 Pacajus";7
"230970 Pacatuba";3
"230980 Pacoti";1
"230990 Pacujá";2
"231010 Palmácia";1
"231020 Paracuru";1
"231025 Paraipaba";4
"231040 Paramoti";1
"231050 Pedra Branca";2
"231085 Pindoretama";2
"231130 Quixadá";2
"231140 Quixeramobim";1
"231160 Redenção";2
"231170 Reriutaba";3
"231180 Russas";7
"231220 Santa Quitéria";1
"231230 São Benedito";6
"231240 São Gonçalo do Amarante";1
"231260 São Luís do Curu";1
"231290 Sobral";23
"231300 Solonópole";1
"231310 Tabuleiro do Norte";6
"231320 Tamboril";1
"231330 Tauá";4
"231340 Tianguá";3
"231350 Trairi";2
"231360 Ubajara";4
"231400 Várzea Alegre";2
"240020 Açu";1
"240070 Alto do Rodrigues";2
"240080 Angicos";1
"240100 Apodi";1
"240110 Areia Branca";1
"240145 Baraúna";1
"240170 Bom Jesus";1
"240200 Caicó";4
"240220 Canguaretama";1
"240260 Ceará-Mirim";4
"240310 Currais Novos";1
"240330 Encanto";1
"240350 Espírito Santo";1
"240360 Extremoz";1
"240380 Florânia";1
"240540 Japi";1
"240570 Jardim do Seridó";1
"240590 João Dias";1
"240660 Lagoa Salgada";1
"240680 Lajes Pintadas";1
"240710 Macaíba";1
"240720 Macau";3
"240740 Martins";1
"240750 Maxaranguape";1
"240780 Monte Alegre";1
"240800 Mossoró";15
"240810 Natal";93
"240820 Nísia Floresta";2
"240325 Parnamirim";5
"240940 Pau dos Ferros";2
"240960 Pedra Preta";1
"240980 Pedro Velho";1
"240990 Pendências";1
"241100 Rodolfo Fernandes";1
"241190 São Francisco do Oeste";1
"241200 São Gonçalo do Amarante";4
"241220 São José de Mipibu";2
"241230 São José do Campestre";2
"241250 São Miguel";1
"241335 Serra do Mel";1
"241355 Serrinha dos Pintos";1
"241390 Taipu";1
"250030 Alagoa Grande";2
"250040 Alagoa Nova";1
"250060 Alhandra";2
"250080 Araçagi";1
"250140 Baía da Traição";1
"250160 Barra de Santa Rosa";1
"250180 Bayeux";12
"250190 Belém";1
"250215 Boa Vista";1
"250300 Caaporã";2
"250320 Cabedelo";11
"250330 Cachoeira dos Índios";1
"250370 Cajazeiras";1
"250400 Campina Grande";29
"250490 Cruz do Espírito Santo";1
"250500 Cubati";1
"250527 Curral de Cima";1
"250600 Esperança";2
"250610 Fagundes";1
"250630 Guarabira";3
"250640 Gurinhém";1
"250670 Imaculada";1
"250680 Ingá";2
"250690 Itabaiana";2
"250700 Itaporanga";1
"250710 Itapororoca";1
"250720 Itatuba";2
"250730 Jacaraú";2
"250750 João Pessoa";95
"250800 Juru";1
"250830 Lagoa Seca";1
"250890 Mamanguape";4
"250920 Massaranduba";1
"250930 Mataraca";1
"250970 Monteiro";2
"251000 Nazarezinho";2
"251060 Ouro Velho";2
"251080 Patos";3
"251120 Pedras de Fogo";1
"251140 Picuí";1
"251270 Remígio";1
"251290 Rio Tinto";8
"251330 Santa Helena";2
"251370 Santa Rita";13
"251360 Santana dos Garrotes";1
"251385 Santo André";1
"251390 São Bento";2
"251450 São José de Piranhas";1
"251490 São Mamede";1
"251530 Sapé";3
"251590 Serraria";1
"251593 Sertãozinho";2
"251600 Solânea";1
"251620 Sousa";4
"250000 Município ignorado - PB";1
"260005 Abreu e Lima";18
"260010 Afogados da Ingazeira";2
"260030 Agrestina";2
"260050 Águas Belas";1
"260060 Alagoinha";1
"260080 Altinho";2
"260105 Araçoiaba";2
"260110 Araripina";2
"260120 Arcoverde";6
"260140 Barreiros";3
"260160 Belém de São Francisco";1
"260170 Belo Jardim";6
"260190 Bezerros";3
"260210 Bom Conselho";2
"260220 Bom Jardim";1
"260230 Bonito";2
"260260 Brejo da Madre de Deus";2
"260270 Buenos Aires";1
"260290 Cabo de Santo Agostinho";48
"260310 Cachoeirinha";2
"260345 Camaragibe";16
"260400 Carpina";2
"260410 Caruaru";33
"260420 Catende";5
"260450 Chã Grande";1
"260460 Condado";1
"260500 Cupira";2
"260510 Custódia";2
"260520 Escada";3
"260530 Exu";1
"260540 Feira Nova";2
"260600 Garanhuns";7
"260620 Goiana";13
"260640 Gravatá";2
"260680 Igarassu";13
"260760 Ilha de Itamaracá";3
"260720 Ipojuca";6
"260730 Ipubi";1
"260765 Itambé";4
"260775 Itapissuma";6
"260790 Jaboatão dos Guararapes";123
"260850 Lagoa do Itaenga";3
"260875 Lagoa Grande";1
"260880 Lajedo";2
"260890 Limoeiro";4
"260900 Macaparana";2
"260920 Maraial";1
"260940 Moreno";5
"260950 Nazaré da Mata";1
"260960 Olinda";86
"261020 Panelas";1
"261030 Paranatama";1
"261050 Passira";2
"261060 Paudalho";3
"261070 Paulista";60
"261080 Pedra";1
"261090 Pesqueira";2
"261100 Petrolândia";3
"261110 Petrolina";15
"261120 Poção";2
"261160 Recife";352
"261180 Ribeirão";2
"261190 Rio Formoso";2
"261220 Salgueiro";1
"261240 Sanharó";1
"261247 Santa Cruz da Baixa Verde";1
"261250 Santa Cruz do Capibaribe";2
"261330 São Joaquim do Monte";1
"261340 São José da Coroa Grande";1
"261350 São José do Belmonte";1
"261370 São Lourenço da Mata";10
"261380 São Vicente Ferrer";1
"261390 Serra Talhada";5
"261410 Sertânia";3
"261420 Sirinhaém";1
"261450 Surubim";2
"261485 Tamandaré";3
"261500 Taquaritinga do Norte";2
"261570 Triunfo";1
"261610 Verdejante";1
"261620 Vertentes";1
"261630 Vicência";1
"261640 Vitória de Santo Antão";10
"270020 Anadia";1
"270030 Arapiraca";8
"270060 Barra de São Miguel";2
"270100 Boca da Mata";2
"270120 Cacimbinhas";1
"270140 Campo Alegre";1
"270170 Capela";2
"270210 Colônia Leopoldina";1
"270230 Coruripe";1
"270240 Delmiro Gouveia";2
"270255 Estrela de Alagoas";1
"270280 Flexeiras";2
"270290 Girau do Ponciano";1
"270300 Ibateguara";2
"270310 Igaci";1
"270380 Joaquim Gomes";1
"270410 Lagoa da Canoa";1
"270430 Maceió";147
"270460 Maravilha";1
"270470 Marechal Deodoro";1
"270500 Mata Grande";1
"270510 Matriz de Camaragibe";1
"270550 Murici";1
"270570 Olho d'Água das Flores";1
"270590 Olho d'Água Grande";1
"270630 Palmeira dos Índios";1
"270690 Pilar";2
"270740 Porto de Pedras";1
"270760 Quebrangulo";2
"270770 Rio Largo";3
"270800 Santana do Ipanema";2
"270820 São Brás";2
"270830 São José da Laje";3
"270840 São José da Tapera";2
"270870 São Miguel dos Milagres";1
"270880 São Sebastião";1
"270915 Teotônio Vilela";3
"270930 União dos Palmares";4
"280020 Aquidabã";2
"280030 Aracaju";51
"280050 Areia Branca";1
"280060 Barra dos Coqueiros";1
"280067 Boquim";4
"280100 Campo do Brito";1
"280130 Capela";1
"280170 Cristinápolis";1
"280210 Estância";3
"280230 Frei Paulo";1
"280290 Itabaiana";2
"280330 Japaratuba";1
"280350 Lagarto";5
"280380 Malhada dos Bois";1
"280400 Maruim";1
"280480 Nossa Senhora do Socorro";8
"280510 Pedrinhas";2
"280570 Propriá";2
"280590 Riachuelo";1
"280610 Rosário do Catete";1
"280630 Santa Luzia do Itanhy";1
"280740 Tobias Barreto";2
"290070 Alagoinhas";8
"290100 Amargosa";1
