"Município (Res)";"Freqüência"
"110001 Alta Floresta D'Oeste";2
"110037 Alto Alegre dos Parecis";1
"110040 Alto Paraíso";1
"110002 Ariquemes";23
"110045 Buritis";7
"110004 Cacoal";7
"110080 Candeias do Jamari";7
"110005 Cerejeiras";8
"110092 Chupinguaia";1
"110006 Colorado do Oeste";2
"110008 Costa Marques";2
"110094 Cujubim";2
"110009 Espigão D'Oeste";4
"110100 Governador Jorge Teixeira";1
"110010 Guajará-Mirim";6
"110011 Jaru";2
"110012 Ji-Paraná";25
"110013 Machadinho D'Oeste";4
"110120 Ministro Andreazza";1
"110140 Monte Negro";4
"110014 Nova Brasilândia D'Oeste";2
"110033 Nova Mamoré";2
"110015 Ouro Preto do Oeste";13
"110018 Pimenta Bueno";3
"110020 Porto Velho";280
"110025 Presidente Médici";3
"110180 Vale do Paraíso";1
"110030 Vilhena";24
"120001 Acrelândia";2
"120005 Assis Brasil";1
"120010 Brasiléia";2
"120013 Bujari";1
"120020 Cruzeiro do Sul";2
"120025 Epitaciolândia";2
"120038 Plácido de Castro";3
"120040 Rio Branco";47
"120050 Sena Madureira";3
"120045 Senador Guiomard";3
"120070 Xapuri";2
"130006 Amaturá";1
"130014 Apuí";3
"130020 Atalaia do Norte";1
"130030 Autazes";2
"130040 Barcelos";4
"130050 Barreirinha";2
"130060 Benjamin Constant";9
"130063 Beruri";3
"130068 Boa Vista do Ramos";2
"130070 Boca do Acre";1
"130080 Borba";6
"130100 Carauari";4
"130110 Careiro";3
"130115 Careiro da Várzea";2
"130120 Coari";6
"130130 Codajás";2
"130140 Eirunepé";4
"130160 Fonte Boa";5
"130170 Humaitá";7
"130185 Iranduba";9
"130190 Itacoatiara";20
"130230 Jutaí";1
"130240 Lábrea";3
"130250 Manacapuru";18
"130255 Manaquiri";3
"130260 Manaus";1139
"130270 Manicoré";2
"130280 Maraã";1
"130290 Maués";11
"130310 Nova Olinda do Norte";1
"130320 Novo Airão";4
"130330 Novo Aripuanã";2
"130340 Parintins";13
"130353 Presidente Figueiredo";5
"130356 Rio Preto da Eva";6
"130370 Santo Antônio do Içá";3
"130390 São Paulo de Olivença";8
"130400 Silves";2
"130406 Tabatinga";40
"130420 Tefé";15
"130423 Tonantins";2
"130426 Uarini";1
"130430 Urucará";1
"130440 Urucurituba";2
"140005 Alto Alegre";1
"140002 Amajari";1
"140010 Boa Vista";138
"140015 Bonfim";3
"140017 Cantá";1
"140023 Caroebe";1
"140030 Mucajaí";3
"140045 Pacaraima";2
"140047 Rorainópolis";4
"140050 São João da Baliza";1
"150010 Abaetetuba";19
"150020 Acará";8
"150030 Afuá";1
"150034 Água Azul do Norte";2
"150050 Almeirim";1
"150060 Altamira";8
"150070 Anajás";2
"150080 Ananindeua";173
"150090 Augusto Corrêa";9
"150120 Baião";2
"150125 Bannach";1
"150130 Barcarena";41
"150140 Belém";592
"150145 Belterra";2
"150150 Benevides";19
"150157 Bom Jesus do Tocantins";1
"150170 Bragança";28
"150172 Brasil Novo";2
"150175 Brejo Grande do Araguaia";1
"150178 Breu Branco";11
"150180 Breves";4
"150190 Bujaru";7
"150200 Cachoeira do Arari";2
"150195 Cachoeira do Piriá";6
"150210 Cametá";2
