"Município (Res)";"Freqüência"
"110002 Ariquemes";3
"110005 Cerejeiras";1
"110010 Guajará-Mirim";2
"110011 Jaru";1
"110012 Ji-Paraná";2
"110015 Ouro Preto do Oeste";2
"110020 Porto Velho";32
"110030 Vilhena";8
"120038 Plácido de Castro";1
"120040 Rio Branco";3
"120050 Sena Madureira";1
"120045 Senador Guiomard";1
"130014 Apuí";1
"130100 Carauari";1
"130190 Itacoatiara";1
"130260 Manaus";107
"130340 Parintins";1
"130353 Presidente Figueiredo";2
"130423 Tonantins";1
"140010 Boa Vista";15
"140050 São João da Baliza";2
"150010 Abaetetuba";1
"150040 Alenquer";2
"150060 Altamira";3
"150080 Ananindeua";29
"150140 Belém";154
"150170 Bragança";1
"150240 Castanhal";2
"150276 Cumaru do Norte";2
"150277 Curionópolis";2
"150380 Jacundá";2
"150420 Marabá";4
"150440 Marapanim";1
"150470 Moju";1
"150550 Paragominas";1
"150560 Peixe-Boi";2
"150618 Rondon do Pará";1
"150635 Santa Bárbara do Pará";1
"150650 Santa Isabel do Pará";4
"150660 Santa Maria do Pará";1
"150670 Santana do Araguaia";1
"150680 Santarém";3
"150808 Tucumã";1
"150820 Vigia";1
"160021 Cutias";1
"160030 Macapá";16
"160060 Santana";1
"160070 Tartarugalzinho";1
"170210 Araguaína";6
"170310 Barrolândia";1
"170550 Colinas do Tocantins";2
"170930 Guaraí";2
"170950 Gurupi";3
"172100 Palmas";3
"171610 Paraíso do Tocantins";3
"171650 Pedro Afonso";1
"172020 São Miguel do Tocantins";1
"172030 São Sebastião do Tocantins";1
"172210 Xambioá";1
"210005 Açailândia";3
"210050 Alto Parnaíba";1
"210060 Amarante do Maranhão";2
"210100 Arari";1
"210120 Bacabal";3
"210140 Balsas";1
"210160 Barra do Corda";1
"210200 Bom Jardim";1
"210230 Buriti Bravo";1
"210300 Caxias";7
"210320 Chapadinha";2
"210340 Coelho Neto";1
"210375 Davinópolis";1
"210400 Esperantinópolis";1
"210405 Estreito";1
"210440 Gonçalves Dias";1
"210455 Governador Edison Lobão";1
"210480 Grajaú";1
"210530 Imperatriz";39
"210640 Mata Roma";1
"210750 Paço do Lumiar";2
"210780 Parnarama";2
"210820 Pedreiras";1
"210860 Pinheiro";1
"210910 Presidente Dutra";2
"210960 Rosário";1
"210980 Santa Helena";1
"210990 Santa Inês";4
"211060 São Bernardo";4
"211110 São João dos Patos";1
"211130 São Luís";79
"211150 São Mateus do Maranhão";1
"211170 São Vicente Ferrer";1
"211220 Timon";12
"211240 Turiaçu";1
"211290 Vitória do Mearim";1
"220040 Altos";2
"220060 Angical do Piauí";1
"220120 Barras";1
"220220 Campo Maior";2
"220290 Corrente";1
"220390 Floriano";2
"220470 Inhuma";1
"220570 Luís Correia";1
"220660 Monte Alegre do Piauí";1
"220700 Oeiras";1
"220770 Parnaíba";4
"220790 Pedro II";1
"220800 Picos";1
"220840 Piripiri";2
"220990 São João da Serra";1
"221010 São José do Peixe";1
"221030 São Julião";1
"221060 São Raimundo Nonato";1
"221080 Simplício Mendes";1
"221100 Teresina";49
"221110 União";1
"221130 Valença do Piauí";1
"230010 Abaiara";1
"230020 Acaraú";2
"230030 Acopiara";1
"230070 Alto Santo";1
"230110 Aracati";3
"230220 Beberibe";1
"230260 Camocim";2
"230310 Cariré";1
"230350 Cascavel";1
"230370 Caucaia";10
"230393 Choró";1
"230395 Chorozinho";1
"230410 Crateús";2
"230423 Croatá";3
"230425 Cruz";1
"230435 Forquilha";1
"230440 Fortaleza";206
"230450 Frecheirinha";1
"230470 Granja";1
"230500 Guaraciaba do Norte";2
"230530 Ibiapina";1
"230535 Icapuí";1
"230550 Iguatu";2
"230580 Ipu";2
"230590 Ipueiras";1
"230610 Irauçuba";1
"230640 Itapipoca";2
"230690 Jaguaribe";1
"230730 Juazeiro do Norte";1
"230740 Jucás";1
"230750 Lavras da Mangabeira";2
"230760 Limoeiro do Norte";1
"230765 Maracanaú";5
"230820 Meruoca";1
"230900 Mucambo";1
"230960 Pacajus";1
"230970 Pacatuba";3
"230980 Pacoti";1
"231050 Pedra Branca";1
"231070 Pentecoste";1
"231085 Pindoretama";2
"231140 Quixeramobim";1
"231180 Russas";3
"231220 Santa Quitéria";2
"231200 Santana do Acaraú";1
"231230 São Benedito";1
"231260 São Luís do Curu";2
"231290 Sobral";8
"231320 Tamboril";1
"231330 Tauá";1
"231340 Tianguá";2
"231360 Ubajara";2
"231395 Varjota";2
"231400 Várzea Alegre";1
"240050 Alexandria";1
"240140 Baía Formosa";1
"240200 Caicó";2
"240260 Ceará-Mirim";3
"240310 Currais Novos";4
"240360 Extremoz";2
"240375 Fernando Pedroza";1
"240540 Japi";1
"240610 Jucurutu";1
"240680 Lajes Pintadas";1
"240720 Macau";2
"240800 Mossoró";9
"240810 Natal";53
"240860 Paraná";1
"240325 Parnamirim";4
"240910 Passa e Fica";1
"240920 Passagem";1
"240940 Pau dos Ferros";1
"240990 Pendências";1
"241050 Rafael Fernandes";1
"241100 Rodolfo Fernandes";1
"241120 Santa Cruz";3
"241140 Santana do Matos";1
"241190 São Francisco do Oeste";1
"241220 São José de Mipibu";2
"241330 Serra de São Bento";2
"241390 Taipu";1
"241420 Tibau do Sul";1
"241470 Várzea";1
"250010 Água Branca";1
"250030 Alagoa Grande";1
"250060 Alhandra";2
"250080 Araçagi";1
"250100 Araruna";1
"250110 Areia";1
"250180 Bayeux";4
"250215 Boa Vista";1
"250320 Cabedelo";4
"250370 Cajazeiras";1
"250400 Campina Grande";35
"250450 Condado";2
"250480 Coremas";1
"250610 Fagundes";2
"250630 Guarabira";1
"250690 Itabaiana";3
"250730 Jacaraú";1
"250750 João Pessoa";29
"250770 Juazeirinho";1
"250820 Lagoa de Dentro";1
"250890 Mamanguape";2
"250930 Mataraca";1
"251040 Olho d'Água";1
"251080 Patos";1
"251210 Pombal";2
"251270 Remígio";1
"251290 Rio Tinto";1
"251340 Santa Luzia";1
"251370 Santa Rita";7
"251390 São Bento";1
"251450 São José de Piranhas";1
"251510 São Sebastião de Lagoa de Roça";1
"251530 Sapé";2
"251550 Serra Branca";3
"251600 Solânea";1
"251610 Soledade";1
"251620 Sousa";1
"251630 Sumé";1
"251650 Taperoá";1
"251670 Teixeira";1
"250550 Vista Serrana";1
"260005 Abreu e Lima";8
"260020 Afrânio";1
"260050 Águas Belas";1
"260090 Amaraji";3
"260120 Arcoverde";4
"260140 Barreiros";1
"260170 Belo Jardim";5
"260190 Bezerros";2
"260220 Bom Jardim";1
"260250 Brejinho";1
"260290 Cabo de Santo Agostinho";13
"260345 Camaragibe";7
"260392 Carnaubeira da Penha";1
"260400 Carpina";1
"260410 Caruaru";18
"260420 Catende";2
"260460 Condado";3
"260510 Custódia";1
"260520 Escada";3
"260600 Garanhuns";3
"260620 Goiana";6
"260640 Gravatá";2
"260680 Igarassu";4
"260760 Ilha de Itamaracá";3
