"Município (Res)";"Freqüência"
"110001 Alta Floresta D'Oeste";1
"110040 Alto Paraíso";3
"110034 Alvorada D'Oeste";1
"110002 Ariquemes";29
"110045 Buritis";3
"110060 Cacaulândia";3
"110004 Cacoal";5
"110080 Candeias do Jamari";4
"110005 Cerejeiras";2
"110092 Chupinguaia";3
"110006 Colorado do Oeste";4
"110008 Costa Marques";1
"110094 Cujubim";2
"110009 Espigão D'Oeste";1
"110010 Guajará-Mirim";12
"110110 Itapuã do Oeste";2
"110011 Jaru";10
"110012 Ji-Paraná";27
"110120 Ministro Andreazza";1
"110140 Monte Negro";1
"110033 Nova Mamoré";5
"110015 Ouro Preto do Oeste";3
"110018 Pimenta Bueno";1
"110020 Porto Velho";229
"110028 Rolim de Moura";4
"110032 São Miguel do Guaporé";1
"110180 Vale do Paraíso";1
"110030 Vilhena";12
"120001 Acrelândia";1
"120010 Brasiléia";2
"120020 Cruzeiro do Sul";1
"120025 Epitaciolândia";1
"120034 Manoel Urbano";2
"120080 Porto Acre";3
"120040 Rio Branco";55
"120050 Sena Madureira";5
"120045 Senador Guiomard";1
"130006 Amaturá";2
"130014 Apuí";2
"130020 Atalaia do Norte";1
"130030 Autazes";2
"130040 Barcelos";1
"130050 Barreirinha";2
"130060 Benjamin Constant";9
"130070 Boca do Acre";1
"130080 Borba";6
"130110 Careiro";5
"130115 Careiro da Várzea";2
"130120 Coari";9
"130130 Codajás";1
"130140 Eirunepé";1
"130160 Fonte Boa";1
"130170 Humaitá";6
"130185 Iranduba";10
"130190 Itacoatiara";23
"130200 Itapiranga";1
"130210 Japurá";3
"130240 Lábrea";2
"130250 Manacapuru";14
"130255 Manaquiri";5
"130260 Manaus";888
"130270 Manicoré";4
"130280 Maraã";1
"130290 Maués";5
"130310 Nova Olinda do Norte";1
"130320 Novo Airão";2
"130330 Novo Aripuanã";3
"130340 Parintins";10
"130353 Presidente Figueiredo";6
"130356 Rio Preto da Eva";4
"130360 Santa Isabel do Rio Negro";1
"130370 Santo Antônio do Içá";3
"130380 São Gabriel da Cachoeira";2
"130390 São Paulo de Olivença";5
"130395 São Sebastião do Uatumã";3
"130406 Tabatinga";10
"130410 Tapauá";1
"130420 Tefé";7
"130423 Tonantins";1
"130426 Uarini";1
"130430 Urucará";1
"130440 Urucurituba";4
"140005 Alto Alegre";3
"140010 Boa Vista";118
"140015 Bonfim";2
"140017 Cantá";3
"140020 Caracaraí";1
"140030 Mucajaí";7
"140045 Pacaraima";2
"140050 São João da Baliza";1
"150010 Abaetetuba";24
"150013 Abel Figueiredo";1
"150020 Acará";3
"150040 Alenquer";2
"150050 Almeirim";1
"150060 Altamira";7
"150070 Anajás";2
"150080 Ananindeua";148
"150085 Anapu";3
