"Município (Res)";"Freqüência"
"110001 Alta Floresta D'Oeste";1
"110037 Alto Alegre dos Parecis";1
"110040 Alto Paraíso";1
"110034 Alvorada D'Oeste";1
"110002 Ariquemes";14
"110045 Buritis";3
"110004 Cacoal";13
"110080 Candeias do Jamari";3
"110090 Castanheiras";1
"110006 Colorado do Oeste";1
"110007 Corumbiara";3
"110008 Costa Marques";1
"110009 Espigão D'Oeste";2
"110100 Governador Jorge Teixeira";1
"110010 Guajará-Mirim";3
"110011 Jaru";3
"110012 Ji-Paraná";15
"110013 Machadinho D'Oeste";1
"110140 Monte Negro";3
"110014 Nova Brasilândia D'Oeste";1
"110033 Nova Mamoré";1
"110015 Ouro Preto do Oeste";2
"110018 Pimenta Bueno";1
"110020 Porto Velho";103
"110025 Presidente Médici";1
"110028 Rolim de Moura";5
"110160 Theobroma";1
"110030 Vilhena";24
"110000 Município ignorado - RO";1
"120001 Acrelândia";1
"120025 Epitaciolândia";1
"120034 Manoel Urbano";1
"120040 Rio Branco";50
"120045 Senador Guiomard";4
"130006 Amaturá";3
"130020 Atalaia do Norte";5
"130030 Autazes";1
"130050 Barreirinha";1
"130060 Benjamin Constant";1
"130120 Coari";1
"130160 Fonte Boa";1
"130170 Humaitá";1
"130185 Iranduba";1
"130190 Itacoatiara";3
"130200 Itapiranga";1
"130230 Jutaí";1
"130240 Lábrea";1
"130250 Manacapuru";6
"130260 Manaus";487
"130270 Manicoré";1
"130320 Novo Airão";2
"130340 Parintins";17
"130353 Presidente Figueiredo";2
"130356 Rio Preto da Eva";5
"130370 Santo Antônio do Içá";1
"130380 São Gabriel da Cachoeira";1
"130406 Tabatinga";12
"130420 Tefé";5
"130440 Urucurituba";1
"140010 Boa Vista";103
"140015 Bonfim";4
"140017 Cantá";1
"140020 Caracaraí";1
"140023 Caroebe";2
"140030 Mucajaí";3
"140045 Pacaraima";2
"140047 Rorainópolis";1
"150010 Abaetetuba";22
"150013 Abel Figueiredo";1
"150050 Almeirim";2
"150060 Altamira";6
"150080 Ananindeua";133
"150120 Baião";1
"150130 Barcarena";10
"150140 Belém";533
"150150 Benevides";5
"150170 Bragança";13
"150172 Brasil Novo";1
"150175 Brejo Grande do Araguaia";2
"150178 Breu Branco";3
"150180 Breves";1
"150210 Cametá";2
"150215 Canaã dos Carajás";1
"150220 Capanema";2
"150240 Castanhal";14
"150276 Cumaru do Norte";2
"150277 Curionópolis";6
"150293 Dom Eliseu";1
"150295 Eldorado dos Carajás";2
"150300 Faro";1
"150304 Floresta do Araguaia";1
"150309 Goianésia do Pará";3
"150310 Gurupá";2
"150320 Igarapé-Açu";1
"150345 Ipixuna do Pará";1
"150350 Irituia";1
"150360 Itaituba";12
"150370 Itupiranga";2
"150380 Jacundá";6
"150390 Juruti";1
"150405 Mãe do Rio";2
"150420 Marabá";25
"150430 Maracanã";2
"150440 Marapanim";3
"150442 Marituba";35
"150460 Mocajuba";2
"150470 Moju";1
"150480 Monte Alegre";3
"150500 Nova Timboteua";2
"150503 Novo Progresso";1
"150510 Óbidos";1
"150530 Oriximiná";4
"150540 Ourém";2
"150543 Ourilândia do Norte";1
"150548 Pacajá";1
"150550 Paragominas";10
"150553 Parauapebas";11
"150560 Peixe-Boi";1
"150611 Quatipuru";2
"150613 Redenção";12
"150616 Rio Maria";2
"150618 Rondon do Pará";1
"150635 Santa Bárbara do Pará";1
"150640 Santa Cruz do Arari";2
"150650 Santa Isabel do Pará";5
"150658 Santa Maria das Barreiras";1
"150660 Santa Maria do Pará";2
"150680 Santarém";28
"150700 Santo Antônio do Tauá";2
"150715 São Domingos do Araguaia";2
"150720 São Domingos do Capim";2
"150730 São Félix do Xingu";1
"150745 São Geraldo do Araguaia";1
"150747 São João de Pirabas";2
"150760 São Miguel do Guamá";3
"150775 Sapucaia";3
"150795 Tailândia";3
"150803 Tracuateua";2
"150808 Tucumã";3
"150810 Tucuruí";10
"150812 Ulianópolis";3
"150820 Vigia";4
"150840 Xinguara";2
"150000 Município ignorado - PA";1
"160023 Ferreira Gomes";1
"160030 Macapá";54
"160040 Mazagão";1
"160050 Oiapoque";3
"160060 Santana";9
"160080 Vitória do Jari";1
"170210 Araguaína";14
"170215 Araguanã";1
"170220 Araguatins";5
"170255 Augustinópolis";1
"170305 Bandeirantes do Tocantins";1
"170310 Barrolândia";1
"170510 Chapada da Natividade";1
"170550 Colinas do Tocantins";5
"171670 Colméia";1
"170555 Combinado";1
"170650 Darcinópolis";1
"170700 Dianópolis";1
"170720 Dois Irmãos do Tocantins";1
"170740 Esperantina";1
"170770 Filadélfia";1
"170900 Goiatins";1
"170930 Guaraí";2
"170950 Gurupi";4
"171190 Lagoa da Confusão";3
"171330 Miranorte";1
"171360 Monte do Carmo";1
"171395 Muricilândia";1
"171420 Natividade";2
"171430 Nazaré";1
"172100 Palmas";30
"171610 Paraíso do Tocantins";1
"171660 Peixe";1
"171750 Pium";1
"171820 Porto Nacional";4
"171830 Praia Norte";1
"171840 Presidente Kennedy";1
"171889 Santa Rita do Tocantins";1
"172020 São Miguel do Tocantins";1
"172049 São Valério da Natividade";1
"172080 Sítio Novo do Tocantins";1
"172090 Taguatinga";1
"172120 Tocantinópolis";1
"172208 Wanderlândia";3
"210005 Açailândia";7
"210030 Aldeias Altas";1
"210040 Altamira do Maranhão";1
"210043 Alto Alegre do Maranhão";4
"210050 Alto Parnaíba";1
"210087 Araguanã";3
"210090 Araioses";2
"210110 Axixá";2
"210120 Bacabal";10
"210140 Balsas";5
"210160 Barra do Corda";5
"210170 Barreirinhas";2
"210177 Bela Vista do Maranhão";1
"210173 Belágua";1
"210193 Bernardo do Mearim";1
"210200 Bom Jardim";1
"210203 Bom Jesus das Selvas";3
"210215 Brejo de Areia";1
"210220 Buriti";1
"210232 Buriticupu";5
"210240 Cajapió";1
"210255 Campestre do Maranhão";2
"210300 Caxias";38
"210330 Codó";22
"210340 Coelho Neto";7
"210360 Coroatá";1
"210375 Davinópolis";2
"210380 Dom Pedro";3
"210400 Esperantinópolis";4
"210420 Fortuna";2
"210430 Godofredo Viana";1
"210440 Gonçalves Dias";4
"210450 Governador Archer";1
"210462 Governador Luiz Rocha";1
"210480 Grajaú";3
"210510 Icatu";4
"210520 Igarapé Grande";3
"210530 Imperatriz";61
"210540 Itapecuru Mirim";7
"210542 Itinga do Maranhão";2
"210550 João Lisboa";1
"210570 Lago da Pedra";3
"210590 Lago Verde";1
"210610 Loreto";1
"210630 Magalhães de Almeida";1
"210637 Maranhãozinho";1
"210670 Mirador";2
"210675 Miranda do Norte";2
"210680 Mirinzal";1
"210690 Monção";1
"210700 Montes Altos";1
"210710 Morros";1
"210750 Paço do Lumiar";12
"210770 Paraibano";1
"210790 Passagem Franca";2
"210805 Paulino Neves";1
"210820 Pedreiras";15
"210845 Peritoró";2
"210850 Pindaré-Mirim";1
"210860 Pinheiro";3
"210870 Pio XII";1
"210900 Porto Franco";1
"210910 Presidente Dutra";5
"210945 Raposa";9
"210960 Rosário";3
"210980 Santa Helena";2
"210990 Santa Inês";6
"211000 Santa Luzia";1
"211010 Santa Quitéria do Maranhão";5
"211020 Santa Rita";2
"211050 São Bento";1
"211060 São Bernardo";2
"211070 São Domingos do Maranhão";1
"211102 São João do Carú";1
"211120 São José de Ribamar";22
"211130 São Luís";328
"211140 São Luís Gonzaga do Maranhão";2
"211150 São Mateus do Maranhão";4
"211160 São Raimundo das Mangabeiras";1
"211174 Senador Alexandre Costa";2
"211176 Senador La Rocque";2
"211180 Sítio Novo";2
"211210 Timbiras";3
"211220 Timon";23
"211223 Trizidela do Vale";3
"211240 Turiaçu";3
"211260 Urbano Santos";2
"211280 Viana";3
"211290 Vitória do Mearim";4
"211400 Zé Doca";2
"220020 Água Branca";1
"220040 Altos";8
"220050 Amarante";2
"220090 Aroazes";1
"220100 Arraial";1
"220110 Avelino Lopes";1
"220117 Barra D'Alcântara";1
"220120 Barras";6
"220160 Beneditinos";1
"220177 Boa Hora";2
"220190 Bom Jesus";1
"220202 Buriti dos Montes";1
"220207 Cajazeiras do Piauí";1
"220208 Cajueiro da Praia";5
"220220 Campo Maior";10
"220225 Canavieira";1
"220230 Canto do Buriti";2
"220270 Cocal";1
"220271 Cocal de Telha";1
"220290 Corrente";2
"220310 Cristino Castro";1
"220330 Demerval Lobão";2
"220370 Esperantina";3
"220390 Floriano";6
"220400 Francinópolis";1
"220430 Fronteiras";1
"220440 Gilbués";1
"220450 Guadalupe";4
"220465 Ilha Grande";2
"220470 Inhuma";2
"220500 Itainópolis";1
"220520 Jaicós";1
"220545 Joca Marques";2
"220550 José de Freitas";1
"220551 Juazeiro do Piauí";1
"220559 Lagoa do Sítio";1
"220570 Luís Correia";1
"220580 Luzilândia";3
"220605 Massapê do Piauí";1
"220620 Miguel Alves";1
"220700 Oeiras";7
"220710 Olho D'Água do Piauí";1
"220750 Palmeirais";1
"220760 Parnaguá";1
"220770 Parnaíba";14
"220790 Pedro II";1
"220800 Picos";7
"220810 Pimenteiras";1
"220830 Piracuruca";1
"220840 Piripiri";1
"220855 Porto Alegre do Piauí";1
"220870 Redenção do Gurguéia";2
"220880 Regeneração";1
"220930 Santa Luz";1
"220940 Santo Antônio de Lisboa";1
"220995 São João da Varjota";2
"221000 São João do Piauí";1
"221035 São Lourenço do Piauí";1
"221040 São Miguel do Tapuio";2
"221060 São Raimundo Nonato";1
"221100 Teresina";185
"221110 União";2
"221120 Uruçuí";2
"221130 Valença do Piauí";2
"221140 Várzea Grande";1
"221170 Wall Ferraz";1
"230015 Acarape";2
"230020 Acaraú";2
"230030 Acopiara";1
"230040 Aiuaba";1
"230075 Amontada";2
"230100 Aquiraz";9
"230110 Aracati";9
"230120 Aracoiaba";1
"230125 Ararendá";1
"230140 Aratuba";1
"230170 Aurora";3
"230190 Barbalha";5
"230195 Barreira";1
"230205 Barroquinha";1
"230210 Baturité";1
"230220 Beberibe";4
"230240 Boa Viagem";3
"230250 Brejo Santo";1
"230260 Camocim";2
"230270 Campos Sales";1
"230280 Canindé";4
"230300 Caridade";1
"230320 Caririaçu";1
"230340 Carnaubal";1
"230350 Cascavel";13
"230360 Catarina";1
"230365 Catunda";2
"230370 Caucaia";47
"230380 Cedro";1
"230395 Chorozinho";3
"230410 Crateús";3
"230420 Crato";8
"230425 Cruz";2
"230428 Eusébio";3
"230430 Farias Brito";1
"230440 Fortaleza";534
"230445 Fortim";1
"230450 Frecheirinha";3
"230465 Graça";2
"230470 Granja";1
"230490 Groaíras";1
"230495 Guaiúba";1
"230500 Guaraciaba do Norte";2
"230510 Guaramiranga";3
"230520 Hidrolândia";1
"230523 Horizonte";4
"230526 Ibaretama";1
"230530 Ibiapina";2
"230540 Icó";1
"230550 Iguatu";10
"230580 Ipu";2
"230590 Ipueiras";1
"230600 Iracema";1
"230620 Itaiçaba";1
"230625 Itaitinga";6
"230630 Itapagé";5
"230640 Itapipoca";5
"230655 Itarema";1
"230660 Itatira";1
"230670 Jaguaretama";1
"230680 Jaguaribara";1
"230690 Jaguaribe";9
"230710 Jardim";3
"230725 Jijoca de Jericoacoara";2
"230730 Juazeiro do Norte";11
"230760 Limoeiro do Norte";3
"230763 Madalena";2
"230765 Maracanaú";37
"230770 Maranguape";2
"230800 Massapê";1
"230830 Milagres";1
"230850 Mombaça";2
"230860 Monsenhor Tabosa";1
"230870 Morada Nova";4
"230900 Mucambo";1
"230910 Mulungu";1
"230930 Nova Russas";3
"230940 Novo Oriente";1
"230945 Ocara";3
"230950 Orós";3
"230960 Pacajus";5
"230970 Pacatuba";5
"230990 Pacujá";1
"231010 Palmácia";1
"231020 Paracuru";3
"231025 Paraipaba";3
"231050 Pedra Branca";3
"231060 Penaforte";2
"231070 Pentecoste";6
"231080 Pereiro";1
"231085 Pindoretama";1
"231110 Porteiras";1
"231120 Potengi";1
"231126 Quiterianópolis";1
"231130 Quixadá";9
"231135 Quixelô";1
"231140 Quixeramobim";2
"231150 Quixeré";1
"231160 Redenção";2
"231180 Russas";10
"231220 Santa Quitéria";2
"231230 São Benedito";2
"231240 São Gonçalo do Amarante";3
"231280 Senador Sá";1
"231290 Sobral";16
"231300 Solonópole";2
"231310 Tabuleiro do Norte";2
"231320 Tamboril";1
"231330 Tauá";8
"231340 Tianguá";6
"231350 Trairi";5
"231355 Tururu";1
"231360 Ubajara";4
"231375 Umirim";1
"231390 Uruoca";1
"231395 Varjota";2
"231400 Várzea Alegre";1
"231410 Viçosa do Ceará";1
"230000 Município ignorado - CE";1
"240010 Acari";3
"240020 Açu";6
"240110 Areia Branca";2
"240160 Bento Fernandes";1
"240185 Caiçara do Norte";1
"240200 Caicó";2
"240220 Canguaretama";3
