"Município (Res)";"Freqüência"
"110001 Alta Floresta D'Oeste";2
"110040 Alto Paraíso";1
"110002 Ariquemes";15
"110045 Buritis";5
"110004 Cacoal";4
"110070 Campo Novo de Rondônia";4
"110080 Candeias do Jamari";5
"110092 Chupinguaia";1
"110006 Colorado do Oeste";2
"110010 Guajará-Mirim";7
"110011 Jaru";6
"110012 Ji-Paraná";19
"110013 Machadinho D'Oeste";3
"110140 Monte Negro";2
"110014 Nova Brasilândia D'Oeste";1
"110033 Nova Mamoré";2
"110015 Ouro Preto do Oeste";3
"110018 Pimenta Bueno";5
"110020 Porto Velho";162
"110025 Presidente Médici";7
"110028 Rolim de Moura";7
"110029 Santa Luzia D'Oeste";3
"110148 São Felipe D'Oeste";1
"110032 São Miguel do Guaporé";1
"110155 Teixeirópolis";1
"110160 Theobroma";1
"110030 Vilhena";28
"120010 Brasiléia";1
"120020 Cruzeiro do Sul";1
"120034 Manoel Urbano";4
"120040 Rio Branco";49
"120050 Sena Madureira";4
"130010 Anori";1
"130014 Apuí";2
"130020 Atalaia do Norte";1
"130030 Autazes";2
"130060 Benjamin Constant";2
"130080 Borba";2
"130100 Carauari";1
"130110 Careiro";2
"130120 Coari";4
"130130 Codajás";1
"130160 Fonte Boa";1
"130170 Humaitá";4
"130185 Iranduba";9
"130190 Itacoatiara";12
"130250 Manacapuru";4
"130260 Manaus";603
"130270 Manicoré";1
"130290 Maués";3
"130300 Nhamundá";2
"130310 Nova Olinda do Norte";1
"130340 Parintins";29
"130353 Presidente Figueiredo";4
"130356 Rio Preto da Eva";1
"130380 São Gabriel da Cachoeira";1
"130390 São Paulo de Olivença";2
"130406 Tabatinga";11
"130420 Tefé";10
"130440 Urucurituba";1
"140010 Boa Vista";99
"140017 Cantá";2
"140020 Caracaraí";3
"140023 Caroebe";2
"140030 Mucajaí";3
"140040 Normandia";1
"140045 Pacaraima";1
"140047 Rorainópolis";3
"140050 São João da Baliza";4
"150010 Abaetetuba";12
"150034 Água Azul do Norte";1
"150040 Alenquer";1
"150050 Almeirim";1
"150060 Altamira";9
"150080 Ananindeua";103
"150085 Anapu";1
"150090 Augusto Corrêa";4
"150095 Aurora do Pará";1
"150100 Aveiro";1
"150110 Bagre";1
"150130 Barcarena";19
"150140 Belém";474
"150150 Benevides";5
"150157 Bom Jesus do Tocantins";2
"150170 Bragança";19
"150178 Breu Branco";7
"150180 Breves";3
"150190 Bujaru";2
"150195 Cachoeira do Piriá";1
"150210 Cametá";4
"150215 Canaã dos Carajás";2
"150220 Capanema";9
"150240 Castanhal";34
"150270 Conceição do Araguaia";3
"150275 Concórdia do Pará";1
"150276 Cumaru do Norte";3
"150277 Curionópolis";1
"150285 Curuá";1
"150290 Curuçá";1
"150293 Dom Eliseu";5
"150295 Eldorado dos Carajás";4
"150307 Garrafão do Norte";1
"150309 Goianésia do Pará";3
"150320 Igarapé-Açu";5
"150330 Igarapé-Miri";1
"150350 Irituia";1
"150360 Itaituba";14
"150370 Itupiranga";2
"150380 Jacundá";4
"150390 Juruti";2
"150405 Mãe do Rio";2
"150420 Marabá";41
"150430 Maracanã";2
"150440 Marapanim";2
"150442 Marituba";30
"150445 Medicilândia";1
"150470 Moju";2
"150480 Monte Alegre";3
"150497 Nova Ipixuna";1
"150503 Novo Progresso";6
"150506 Novo Repartimento";9
"150510 Óbidos";6
"150530 Oriximiná";4
"150540 Ourém";1
"150548 Pacajá";6
"150550 Paragominas";13
"150553 Parauapebas";25
"150565 Placas";1
"150580 Portel";3
"150600 Prainha";1
"150611 Quatipuru";1
"150613 Redenção";21
"150616 Rio Maria";3
"150618 Rondon do Pará";4
"150619 Rurópolis";1
"150620 Salinópolis";6
"150630 Salvaterra";4
"150635 Santa Bárbara do Pará";5
"150650 Santa Isabel do Pará";1
"150655 Santa Luzia do Pará";1
"150658 Santa Maria das Barreiras";1
"150660 Santa Maria do Pará";2
"150670 Santana do Araguaia";4
"150680 Santarém";40
"150690 Santarém Novo";1
"150700 Santo Antônio do Tauá";3
"150710 São Caetano de Odivelas";4
"150715 São Domingos do Araguaia";3
"150730 São Félix do Xingu";7
"150740 São Francisco do Pará";1
"150745 São Geraldo do Araguaia";1
"150747 São João de Pirabas";1
"150760 São Miguel do Guamá";7
"150770 São Sebastião da Boa Vista";3
"150790 Soure";2
"150795 Tailândia";10
"150796 Terra Alta";1
"150797 Terra Santa";1
"150800 Tomé-Açu";4
"150803 Tracuateua";3
"150805 Trairão";1
"150808 Tucumã";3
"150810 Tucuruí";24
"150815 Uruará";1
"150820 Vigia";2
"150830 Viseu";2
"150840 Xinguara";4
"160020 Calçoene";3
"160027 Laranjal do Jari";3
"160030 Macapá";77
"160050 Oiapoque";10
"160015 Pedra Branca do Amapari";1
"160053 Porto Grande";1
"160060 Santana";14
"160070 Tartarugalzinho";1
"160080 Vitória do Jari";2
"170030 Aguiarnópolis";1
"170035 Aliança do Tocantins";2
"170070 Alvorada";2
"170100 Ananás";1
"170210 Araguaína";16
"170220 Araguatins";3
"170255 Augustinópolis";2
"170300 Babaçulândia";2
"170550 Colinas do Tocantins";2
"171670 Colméia";2
"170650 Darcinópolis";1
"170700 Dianópolis";1
"170900 Goiatins";2
"170930 Guaraí";2
"170950 Gurupi";1
"171250 Marianópolis do Tocantins";1
"171320 Miracema do Tocantins";2
"171500 Nova Rosalândia";1
"171510 Novo Acordo";1
"172100 Palmas";28
"171610 Paraíso do Tocantins";3
