"Município (Res)";"Freqüência"
"110040 Alto Paraíso";3
"110034 Alvorada D'Oeste";2
"110002 Ariquemes";15
"110045 Buritis";2
"110060 Cacaulândia";1
"110004 Cacoal";10
"110070 Campo Novo de Rondônia";2
"110080 Candeias do Jamari";2
"110005 Cerejeiras";2
"110092 Chupinguaia";2
"110006 Colorado do Oeste";3
"110007 Corumbiara";2
"110008 Costa Marques";1
"110009 Espigão D'Oeste";1
"110010 Guajará-Mirim";8
"110011 Jaru";3
"110012 Ji-Paraná";25
"110013 Machadinho D'Oeste";4
"110130 Mirante da Serra";2
"110140 Monte Negro";1
"110033 Nova Mamoré";1
"110143 Nova União";1
"110015 Ouro Preto do Oeste";1
"110018 Pimenta Bueno";6
"110020 Porto Velho";142
"110025 Presidente Médici";4
"110147 Primavera de Rondônia";1
"110028 Rolim de Moura";2
"110149 São Francisco do Guaporé";1
"110155 Teixeirópolis";3
"110170 Urupá";2
"110030 Vilhena";16
"120001 Acrelândia";3
"120010 Brasiléia";1
"120020 Cruzeiro do Sul";1
"120034 Manoel Urbano";3
"120040 Rio Branco";26
"120050 Sena Madureira";3
"130030 Autazes";2
"130060 Benjamin Constant";6
"130080 Borba";3
"130090 Canutama";1
"130110 Careiro";1
"130115 Careiro da Várzea";1
"130120 Coari";1
"130140 Eirunepé";2
"130170 Humaitá";5
"130185 Iranduba";7
"130190 Itacoatiara";9
"130250 Manacapuru";9
"130260 Manaus";936
"130270 Manicoré";3
"130290 Maués";3
"130340 Parintins";23
"130353 Presidente Figueiredo";2
"130356 Rio Preto da Eva";8
"130370 Santo Antônio do Içá";3
"130390 São Paulo de Olivença";2
"130395 São Sebastião do Uatumã";1
"130400 Silves";2
"130406 Tabatinga";22
"130420 Tefé";17
"130426 Uarini";1
"130430 Urucará";1
"130440 Urucurituba";1
"140002 Amajari";1
"140010 Boa Vista";131
"140015 Bonfim";6
"140017 Cantá";2
"140020 Caracaraí";5
"140030 Mucajaí";1
"140047 Rorainópolis";1
"140050 São João da Baliza";2
"140070 Uiramutã";1
"150010 Abaetetuba";14
"150020 Acará";2
"150030 Afuá";2
"150050 Almeirim";1
"150060 Altamira";12
"150070 Anajás";1
"150080 Ananindeua";148
"150085 Anapu";2
"150090 Augusto Corrêa";4
"150095 Aurora do Pará";2
"150120 Baião";1
"150130 Barcarena";24
"150140 Belém";553
"150150 Benevides";6
"150160 Bonito";1
"150170 Bragança";19
"150178 Breu Branco";5
"150180 Breves";2
"150190 Bujaru";3
"150200 Cachoeira do Arari";2
"150210 Cametá";4
"150215 Canaã dos Carajás";5
"150220 Capanema";11
"150230 Capitão Poço";2
"150240 Castanhal";27
"150260 Colares";2
"150270 Conceição do Araguaia";4
"150275 Concórdia do Pará";1
"150276 Cumaru do Norte";1
"150277 Curionópolis";6
"150290 Curuçá";11
"150293 Dom Eliseu";2
"150295 Eldorado dos Carajás";12
"150300 Faro";1
"150304 Floresta do Araguaia";3
"150309 Goianésia do Pará";12
"150320 Igarapé-Açu";5
"150330 Igarapé-Miri";5
"150345 Ipixuna do Pará";3
"150350 Irituia";2
"150360 Itaituba";11
"150370 Itupiranga";5
"150375 Jacareacanga";1
"150380 Jacundá";6
"150405 Mãe do Rio";4
"150420 Marabá";61
"150430 Maracanã";4
"150440 Marapanim";6
"150442 Marituba";37
"150445 Medicilândia";1
"150470 Moju";8
"150480 Monte Alegre";4
"150490 Muaná";1
"150497 Nova Ipixuna";1
"150503 Novo Progresso";4
"150506 Novo Repartimento";8
"150510 Óbidos";9
"150520 Oeiras do Pará";1
"150543 Ourilândia do Norte";2
"150548 Pacajá";4
"150550 Paragominas";14
"150553 Parauapebas";40
"150555 Pau D'Arco";2
"150560 Peixe-Boi";1
"150563 Piçarra";1
"150565 Placas";1
"150570 Ponta de Pedras";2
"150610 Primavera";1
"150611 Quatipuru";2
"150613 Redenção";13
"150616 Rio Maria";4
"150618 Rondon do Pará";7
"150620 Salinópolis";2
"150630 Salvaterra";2
"150650 Santa Isabel do Pará";6
"150658 Santa Maria das Barreiras";1
"150660 Santa Maria do Pará";4
"150670 Santana do Araguaia";10
"150680 Santarém";68
"150700 Santo Antônio do Tauá";2
"150710 São Caetano de Odivelas";1
"150715 São Domingos do Araguaia";1
"150720 São Domingos do Capim";3
"150730 São Félix do Xingu";14
"150740 São Francisco do Pará";1
"150747 São João de Pirabas";3
"150750 São João do Araguaia";1
"150760 São Miguel do Guamá";5
"150775 Sapucaia";1
"150790 Soure";2
"150795 Tailândia";5
"150800 Tomé-Açu";6
"150803 Tracuateua";1
"150805 Trairão";1
"150808 Tucumã";2
"150810 Tucuruí";22
"150812 Ulianópolis";1
"150815 Uruará";3
"150820 Vigia";2
"150830 Viseu";2
"150835 Vitória do Xingu";1
"150840 Xinguara";1
"160010 Amapá";1
"160020 Calçoene";5
"160027 Laranjal do Jari";2
"160030 Macapá";83
