"Município (Res)";"Freqüência"
"110040 Alto Paraíso";1
"110034 Alvorada D'Oeste";2
"110002 Ariquemes";23
"110045 Buritis";3
"110004 Cacoal";11
"110080 Candeias do Jamari";1
"110090 Castanheiras";1
"110005 Cerejeiras";4
"110092 Chupinguaia";2
"110006 Colorado do Oeste";1
"110008 Costa Marques";2
"110094 Cujubim";5
"110009 Espigão D'Oeste";1
"110010 Guajará-Mirim";8
"110110 Itapuã do Oeste";3
"110011 Jaru";5
"110012 Ji-Paraná";25
"110130 Mirante da Serra";1
"110140 Monte Negro";1
"110033 Nova Mamoré";3
"110015 Ouro Preto do Oeste";2
"110018 Pimenta Bueno";9
"110020 Porto Velho";224
"110025 Presidente Médici";4
"110147 Primavera de Rondônia";1
"110026 Rio Crespo";1
"110028 Rolim de Moura";6
"110149 São Francisco do Guaporé";1
"110030 Vilhena";3
"120001 Acrelândia";2
"120010 Brasiléia";1
"120013 Bujari";1
"120017 Capixaba";2
"120020 Cruzeiro do Sul";5
"120038 Plácido de Castro";1
"120080 Porto Acre";1
"120040 Rio Branco";47
"120043 Santa Rosa do Purus";1
"120050 Sena Madureira";3
"120045 Senador Guiomard";3
"120060 Tarauacá";1
"130002 Alvarães";2
"130006 Amaturá";2
"130014 Apuí";6
"130030 Autazes";2
"130040 Barcelos";1
"130050 Barreirinha";2
"130060 Benjamin Constant";3
"130070 Boca do Acre";2
"130080 Borba";7
"130100 Carauari";1
"130110 Careiro";3
"130115 Careiro da Várzea";2
"130120 Coari";6
"130130 Codajás";3
"130160 Fonte Boa";3
"130170 Humaitá";11
"130185 Iranduba";13
"130190 Itacoatiara";8
"130200 Itapiranga";1
"130240 Lábrea";2
"130250 Manacapuru";14
"130260 Manaus";1070
"130270 Manicoré";4
"130290 Maués";11
"130310 Nova Olinda do Norte";4
"130320 Novo Airão";2
"130340 Parintins";9
"130350 Pauini";1
"130356 Rio Preto da Eva";4
"130370 Santo Antônio do Içá";1
"130380 São Gabriel da Cachoeira";4
"130390 São Paulo de Olivença";1
"130400 Silves";1
"130406 Tabatinga";6
"130420 Tefé";10
"130426 Uarini";1
"130430 Urucará";1
"130440 Urucurituba";1
"130000 Município ignorado - AM";2
"140002 Amajari";1
"140010 Boa Vista";118
"140017 Cantá";3
"140020 Caracaraí";3
"140028 Iracema";1
"140030 Mucajaí";6
"140045 Pacaraima";2
"140047 Rorainópolis";5
"140050 São João da Baliza";2
"140060 São Luiz";1
"150010 Abaetetuba";20
"150013 Abel Figueiredo";1
"150020 Acará";9
"150030 Afuá";1
"150040 Alenquer";4
"150060 Altamira";14
"150080 Ananindeua";186
"150085 Anapu";3
