"Município (Res)";"Freqüência"
"110002 Ariquemes";1
"110012 Ji-Paraná";1
"110020 Porto Velho";14
"110025 Presidente Médici";1
"120040 Rio Branco";6
"120070 Xapuri";1
"130060 Benjamin Constant";1
"130120 Coari";1
"130260 Manaus";52
"130270 Manicoré";1
"130380 São Gabriel da Cachoeira";1
"140010 Boa Vista";5
"150080 Ananindeua";16
"150130 Barcarena";3
"150140 Belém";84
"150240 Castanhal";1
"150270 Conceição do Araguaia";2
"150350 Irituia";1
"150360 Itaituba";1
"150405 Mãe do Rio";1
"150420 Marabá";3
"150553 Parauapebas";1
"150613 Redenção";1
"150810 Tucuruí";2
"160050 Oiapoque";1
"170200 Araguaçu";1
"170210 Araguaína";1
"170380 Buriti do Tocantins";1
"170950 Gurupi";1
"171150 Jaú do Tocantins";1
"171330 Miranorte";1
"172100 Palmas";3
"171610 Paraíso do Tocantins";1
"172020 São Miguel do Tocantins";1
"172110 Tocantínia";2
"210010 Afonso Cunha";1
"210120 Bacabal";2
"210140 Balsas";1
"210230 Buriti Bravo";1
"210300 Caxias";1
"210320 Chapadinha";1
"210340 Coelho Neto";2
"210530 Imperatriz";18
"210650 Matinha";1
"210670 Mirador";1
"210750 Paço do Lumiar";1
"210820 Pedreiras";2
"210845 Peritoró";1
"210890 Poção de Pedras";1
"210990 Santa Inês";1
"211070 São Domingos do Maranhão";1
"211110 São João dos Patos";1
"211120 São José de Ribamar";3
"211130 São Luís";63
"211190 Sucupira do Norte";1
"211220 Timon";3
"211300 Vitorino Freire";1
"220027 Alegrete do Piauí";1
"220030 Alto Longá";1
"220040 Altos";1
"220180 Bocaina";1
"220196 Brasileira";2
"220330 Demerval Lobão";1
"220770 Parnaíba";1
"220790 Pedro II";1
"220970 São Francisco do Piauí";1
"221070 Simões";1
"221100 Teresina";17
"221130 Valença do Piauí";1
"230050 Alcântaras";1
"230220 Beberibe";1
"230340 Carnaubal";1
"230435 Forquilha";1
"230440 Fortaleza";162
"230490 Groaíras";1
"230550 Iguatu";1
"230580 Ipu";1
"230765 Maracanaú";3
"230900 Mucambo";1
"230930 Nova Russas";1
"230990 Pacujá";1
"231020 Paracuru";1
"231170 Reriutaba";1
"231220 Santa Quitéria";1
"231290 Sobral";1
"231310 Tabuleiro do Norte";1
"240110 Areia Branca";3
"240220 Canguaretama";1
"240310 Currais Novos";2
"240330 Encanto";1
"240420 Goianinha";1
"240740 Martins";1
"240800 Mossoró";4
"240810 Natal";48
"240940 Pau dos Ferros";2
"240980 Pedro Velho";2
"241200 São Gonçalo do Amarante";2
"241220 São José de Mipibu";1
"241230 São José do Campestre";2
"241250 São Miguel";1
"250060 Alhandra";1
"250160 Barra de Santa Rosa";1
"250180 Bayeux";1
"250250 Boqueirão";3
"250300 Caaporã";1
"250320 Cabedelo";5
"250400 Campina Grande";20
"250540 Desterro";1
"250610 Fagundes";2
"250630 Guarabira";4
"250690 Itabaiana";1
"250750 João Pessoa";30
"250820 Lagoa de Dentro";1
"250860 Lucena";1
"250910 Mari";1
"250920 Massaranduba";1
"250970 Monteiro";2
"251250 Queimadas";1
"251315 Santa Cecília";1
"251370 Santa Rita";3
"251450 São José de Piranhas";1
"251530 Sapé";2
"251580 Serra Redonda";3
"251620 Sousa";1
"260005 Abreu e Lima";3
"260010 Afogados da Ingazeira";2
"260120 Arcoverde";1
"260140 Barreiros";1
"260160 Belém de São Francisco";1
"260170 Belo Jardim";1
"260220 Bom Jardim";1
"260230 Bonito";2
"260260 Brejo da Madre de Deus";1
"260290 Cabo de Santo Agostinho";7
"260320 Caetés";1
"260345 Camaragibe";3
"260360 Camutanga";1
"260400 Carpina";1
"260410 Caruaru";10
"260500 Cupira";1
"260520 Escada";2
"260550 Ferreiros";1
"260560 Flores";1
"260600 Garanhuns";2
"260620 Goiana";2
"260680 Igarassu";1
"260690 Iguaraci";1
"260700 Inajá";1
"260720 Ipojuca";1
"260775 Itapissuma";2
"260790 Jaboatão dos Guararapes";26
"260850 Lagoa do Itaenga";1
"260890 Limoeiro";4
"260920 Maraial";1
"260960 Olinda";28
"261000 Palmares";1
"261070 Paulista";21
"261110 Petrolina";7
"261160 Recife";151
"261190 Rio Formoso";2
"261240 Sanharó";1
"261280 Santa Terezinha";1
"261310 São Caitano";2
"261370 São Lourenço da Mata";3
"261390 Serra Talhada";1
"261420 Sirinhaém";1
"261530 Timbaúba";1
"261570 Triunfo";1
"261640 Vitória de Santo Antão";6
"260000 Município ignorado - PE";1
"270010 Água Branca";1
"270030 Arapiraca";5
"270100 Boca da Mata";1
"270130 Cajueiro";1
"270430 Maceió";55
"270644 Paripueira";2
"270710 Piranhas";1
"270730 Porto Calvo";1
"270860 São Miguel dos Campos";4
"270930 União dos Palmares";3
"280030 Aracaju";31
"280100 Campo do Brito";2
